fecha,equipo,rendimiento,rendimiento_predicho,probabilidad,velocidad_puntos_historia,kpi
2020-04-19,Equipo Integración,Bajo,Bajo,0.5510742906114865,23,Rendimiento Equipo
2020-04-26,Equipo Desarrollo,Normal,Normal,0.4130492910790107,37,Rendimiento Equipo
2020-04-26,Equipo Infraestructura,Bajo,Bajo,0.3968040381605911,34,Rendimiento Equipo
2020-04-26,Equipo Seguridad,Normal,Normal,0.6793935225235075,44,Rendimiento Equipo
2020-04-26,Equipo Datos,Bajo,Bajo,0.5397372431016932,23,Rendimiento Equipo
2020-04-26,Equipo Integración,Bajo,Bajo,0.5665608574773637,33,Rendimiento Equipo
2020-05-03,Equipo Desarrollo,Normal,Bajo,0.452018045398307,36,Rendimiento Equipo
2020-05-03,Equipo Infraestructura,Alto,Alto,0.49598451199623694,53,Rendimiento Equipo
2020-05-03,Equipo Seguridad,Normal,Normal,0.7736474907774756,38,Rendimiento Equipo
2020-05-03,Equipo Datos,Normal,Normal,0.6251951874733205,48,Rendimiento Equipo
2020-05-03,Equipo Integración,Normal,Normal,0.56796984373057,41,Rendimiento Equipo
2020-05-10,Equipo Desarrollo,Bajo,Bajo,0.7597078555881169,33,Rendimiento Equipo
2020-05-10,Equipo Infraestructura,Alto,Alto,0.5150718135835386,55,Rendimiento Equipo
2020-05-10,Equipo Seguridad,Bajo,Normal,0.691228886126313,21,Rendimiento Equipo
2020-05-10,Equipo Datos,Bajo,Bajo,0.5062293065937568,26,Rendimiento Equipo
2020-05-10,Equipo Integración,Normal,Normal,0.5947581044894189,47,Rendimiento Equipo
2020-05-17,Equipo Desarrollo,Bajo,Bajo,0.7831790221027619,27,Rendimiento Equipo
2020-05-17,Equipo Infraestructura,Normal,Normal,0.4812784871680121,48,Rendimiento Equipo
2020-05-17,Equipo Seguridad,Bajo,Normal,0.5606080070054341,29,Rendimiento Equipo
2020-05-17,Equipo Datos,Normal,Normal,0.7779318397099725,40,Rendimiento Equipo
2020-05-17,Equipo Integración,Alto,Normal,0.5610657967971113,54,Rendimiento Equipo
2020-05-24,Equipo Desarrollo,Bajo,Bajo,0.7901869586106984,23,Rendimiento Equipo
2020-05-24,Equipo Infraestructura,Normal,Normal,0.504443687559019,40,Rendimiento Equipo
2020-05-24,Equipo Seguridad,Alto,Normal,0.574458813457047,57,Rendimiento Equipo
2020-05-24,Equipo Datos,Normal,Normal,0.8910164356695688,44,Rendimiento Equipo
2020-05-24,Equipo Integración,Normal,Normal,0.5330416032487242,39,Rendimiento Equipo
2020-05-31,Equipo Desarrollo,Bajo,Bajo,0.7633781563018961,26,Rendimiento Equipo
2020-05-31,Equipo Infraestructura,Bajo,Bajo,0.5282713063468116,26,Rendimiento Equipo
2020-05-31,Equipo Seguridad,Normal,Normal,0.6627953291871794,51,Rendimiento Equipo
2020-05-31,Equipo Datos,Normal,Normal,0.8725092206623537,51,Rendimiento Equipo
2020-05-31,Equipo Integración,Normal,Bajo,0.5453498144523783,41,Rendimiento Equipo
2020-06-07,Equipo Desarrollo,Normal,Bajo,0.6531484644251454,44,Rendimiento Equipo
2020-06-07,Equipo Infraestructura,Bajo,Bajo,0.6182713063468117,25,Rendimiento Equipo
2020-06-07,Equipo Seguridad,Normal,Normal,0.6978153793124926,46,Rendimiento Equipo
2020-06-07,Equipo Datos,Normal,Normal,0.8262364933896265,37,Rendimiento Equipo
2020-06-07,Equipo Integración,Bajo,Bajo,0.6378940774086195,31,Rendimiento Equipo
2020-06-14,Equipo Desarrollo,Normal,Normal,0.5037749770908205,47,Rendimiento Equipo
2020-06-14,Equipo Infraestructura,Normal,Bajo,0.5281452805694701,38,Rendimiento Equipo
2020-06-14,Equipo Seguridad,Normal,Normal,0.7194820459791593,36,Rendimiento Equipo
2020-06-14,Equipo Datos,Alto,Normal,0.5302654766015362,54,Rendimiento Equipo
2020-06-14,Equipo Integración,Bajo,Bajo,0.5816889492034913,34,Rendimiento Equipo
2020-06-21,Equipo Desarrollo,Bajo,Bajo,0.5696945677121024,24,Rendimiento Equipo
2020-06-21,Equipo Infraestructura,Alto,Alto,0.4799400811790433,56,Rendimiento Equipo
2020-06-21,Equipo Seguridad,Normal,Normal,0.6419185539156674,52,Rendimiento Equipo
2020-06-21,Equipo Datos,Normal,Normal,0.5086781750142346,40,Rendimiento Equipo
2020-06-21,Equipo Integración,Alto,Alto,0.44000328799591465,55,Rendimiento Equipo
2020-06-28,Equipo Desarrollo,Normal,Normal,0.6738248216906652,46,Rendimiento Equipo
2020-06-28,Equipo Infraestructura,Normal,Alto,0.4300490555380175,49,Rendimiento Equipo
2020-06-28,Equipo Seguridad,Alto,Alto,0.47243640373773366,59,Rendimiento Equipo
2020-06-28,Equipo Datos,Normal,Normal,0.6492972226332825,49,Rendimiento Equipo
2020-06-28,Equipo Integración,Normal,Normal,0.6865671961604919,40,Rendimiento Equipo
2020-07-05,Equipo Desarrollo,Normal,Normal,0.7806603195261629,45,Rendimiento Equipo
2020-07-05,Equipo Infraestructura,Normal,Normal,0.5160636004004489,43,Rendimiento Equipo
2020-07-05,Equipo Seguridad,Normal,Normal,0.4408921913893051,41,Rendimiento Equipo
2020-07-05,Equipo Datos,Alto,Alto,0.4896476472062836,57,Rendimiento Equipo
2020-07-05,Equipo Integración,Normal,Normal,0.8103474288277213,45,Rendimiento Equipo
2020-07-12,Equipo Desarrollo,Normal,Normal,0.7335571449229884,41,Rendimiento Equipo
2020-07-12,Equipo Infraestructura,Alto,Normal,0.4428255051623536,53,Rendimiento Equipo
2020-07-12,Equipo Seguridad,Normal,Normal,0.4932255247226384,43,Rendimiento Equipo
2020-07-12,Equipo Datos,Bajo,Normal,0.4731748450109048,24,Rendimiento Equipo
2020-07-12,Equipo Integración,Normal,Normal,0.8025002066054989,43,Rendimiento Equipo
2020-07-19,Equipo Desarrollo,Alto,Normal,0.5542311375969811,55,Rendimiento Equipo
2020-07-19,Equipo Infraestructura,Normal,Normal,0.5683164554359126,41,Rendimiento Equipo
2020-07-19,Equipo Seguridad,Alto,Alto,0.5510422978436277,53,Rendimiento Equipo
2020-07-19,Equipo Datos,Normal,Normal,0.5673117497728096,36,Rendimiento Equipo
2020-07-19,Equipo Integración,Bajo,Normal,0.8144232835285758,31,Rendimiento Equipo
2020-07-26,Equipo Desarrollo,Normal,Normal,0.675141671507515,50,Rendimiento Equipo
2020-07-26,Equipo Infraestructura,Normal,Normal,0.5463871625066197,46,Rendimiento Equipo
2020-07-26,Equipo Seguridad,Bajo,Bajo,0.5129823798992208,32,Rendimiento Equipo
2020-07-26,Equipo Datos,Bajo,Bajo,0.5824850474653512,25,Rendimiento Equipo
2020-07-26,Equipo Integración,Bajo,Normal,0.7906354047406972,22,Rendimiento Equipo
2020-08-02,Equipo Desarrollo,Bajo,Normal,0.5546862602521037,30,Rendimiento Equipo
2020-08-02,Equipo Infraestructura,Bajo,Normal,0.44528185947631654,29,Rendimiento Equipo
2020-08-02,Equipo Seguridad,Bajo,Bajo,0.5156490465658875,30,Rendimiento Equipo
2020-08-02,Equipo Datos,Normal,Normal,0.48900709609315596,35,Rendimiento Equipo
2020-08-02,Equipo Integración,Normal,Normal,0.7918551017103943,39,Rendimiento Equipo
2020-08-09,Equipo Desarrollo,Normal,Normal,0.6862140380298816,38,Rendimiento Equipo
2020-08-09,Equipo Infraestructura,Bajo,Normal,0.39750408169853885,28,Rendimiento Equipo
2020-08-09,Equipo Seguridad,Alto,Alto,0.5063403230710385,56,Rendimiento Equipo
2020-08-09,Equipo Datos,Bajo,Bajo,0.7203022302825342,34,Rendimiento Equipo
2020-08-09,Equipo Integración,Normal,Normal,0.7715385111472282,43,Rendimiento Equipo
2020-08-16,Equipo Desarrollo,Normal,Normal,0.6790333020991457,41,Rendimiento Equipo
2020-08-16,Equipo Infraestructura,Alto,Alto,0.4335610610658797,59,Rendimiento Equipo
2020-08-16,Equipo Seguridad,Bajo,Bajo,0.5411629835607745,24,Rendimiento Equipo
2020-08-16,Equipo Datos,Normal,Bajo,0.7775522302825341,42,Rendimiento Equipo
2020-08-16,Equipo Integración,Normal,Normal,0.7756020032107203,51,Rendimiento Equipo
2020-08-23,Equipo Desarrollo,Bajo,Normal,0.5669609594688763,34,Rendimiento Equipo
2020-08-23,Equipo Infraestructura,Normal,Normal,0.57144880690797,48,Rendimiento Equipo
2020-08-23,Equipo Seguridad,Alto,Alto,0.5248417660724813,58,Rendimiento Equipo
2020-08-23,Equipo Datos,Bajo,Bajo,0.8500148266292767,34,Rendimiento Equipo
2020-08-23,Equipo Integración,Normal,Normal,0.7193177319264491,38,Rendimiento Equipo
2020-08-30,Equipo Desarrollo,Alto,Normal,0.4173963450751296,55,Rendimiento Equipo
2020-08-30,Equipo Infraestructura,Normal,Normal,0.6322062870863179,37,Rendimiento Equipo
2020-08-30,Equipo Seguridad,Bajo,Alto,0.43554962047861173,29,Rendimiento Equipo
2020-08-30,Equipo Datos,Bajo,Bajo,0.8360148266292768,34,Rendimiento Equipo
2020-08-30,Equipo Integración,Normal,Normal,0.6931921708974399,44,Rendimiento Equipo
2020-09-06,Equipo Desarrollo,Normal,Normal,0.3907296784084629,40,Rendimiento Equipo
2020-09-06,Equipo Infraestructura,Alto,Normal,0.5156059286633788,57,Rendimiento Equipo
2020-09-06,Equipo Seguridad,Bajo,Bajo,0.5662370242617617,30,Rendimiento Equipo
2020-09-06,Equipo Datos,Bajo,Bajo,0.8080148266292768,28,Rendimiento Equipo
2020-09-06,Equipo Integración,Bajo,Normal,0.5133237812854171,24,Rendimiento Equipo
2020-09-13,Equipo Desarrollo,Bajo,Normal,0.4762847899635745,30,Rendimiento Equipo
2020-09-13,Equipo Infraestructura,Alto,Alto,0.4175616562276393,59,Rendimiento Equipo
2020-09-13,Equipo Seguridad,Normal,Bajo,0.4376137429536978,47,Rendimiento Equipo
2020-09-13,Equipo Datos,Bajo,Bajo,0.682160592627984,21,Rendimiento Equipo
2020-09-13,Equipo Integración,Normal,Normal,0.7027331609556662,40,Rendimiento Equipo
2020-09-20,Equipo Desarrollo,Normal,Normal,0.691762384591169,41,Rendimiento Equipo
2020-09-20,Equipo Infraestructura,Normal,Normal,0.5052599070923574,50,Rendimiento Equipo
2020-09-20,Equipo Seguridad,Bajo,Bajo,0.5017804096203645,20,Rendimiento Equipo
2020-09-20,Equipo Datos,Alto,Alto,0.4697393339349862,55,Rendimiento Equipo
2020-09-20,Equipo Integración,Normal,Normal,0.7703252244477296,46,Rendimiento Equipo
2020-09-27,Equipo Desarrollo,Normal,Normal,0.70917813550692,52,Rendimiento Equipo
2020-09-27,Equipo Infraestructura,Bajo,Bajo,0.4346211772727437,28,Rendimiento Equipo
2020-09-27,Equipo Seguridad,Alto,Alto,0.581044153372864,60,Rendimiento Equipo
2020-09-27,Equipo Datos,Normal,Normal,0.6930652749022314,41,Rendimiento Equipo
2020-09-27,Equipo Integración,Normal,Normal,0.7193761734986787,36,Rendimiento Equipo
2020-10-04,Equipo Desarrollo,Bajo,Normal,0.7090670243958088,31,Rendimiento Equipo
2020-10-04,Equipo Infraestructura,Alto,Alto,0.4604154524314357,56,Rendimiento Equipo
2020-10-04,Equipo Seguridad,Alto,Alto,0.6546186344473451,57,Rendimiento Equipo
2020-10-04,Equipo Datos,Normal,Normal,0.7820652749022315,47,Rendimiento Equipo
2020-10-04,Equipo Integración,Bajo,Bajo,0.4970612459109819,26,Rendimiento Equipo
2020-10-11,Equipo Desarrollo,Normal,Normal,0.6968209926497773,50,Rendimiento Equipo
2020-10-11,Equipo Infraestructura,Normal,Alto,0.43238370639968965,44,Rendimiento Equipo
2020-10-11,Equipo Seguridad,Normal,Alto,0.5662257773044879,50,Rendimiento Equipo
2020-10-11,Equipo Datos,Normal,Normal,0.7673192431561998,40,Rendimiento Equipo
2020-10-11,Equipo Integración,Alto,Alto,0.44314593179514083,60,Rendimiento Equipo
2020-10-18,Equipo Desarrollo,Normal,Normal,0.5034322480610327,48,Rendimiento Equipo
2020-10-18,Equipo Infraestructura,Bajo,Bajo,0.513835407813445,23,Rendimiento Equipo
2020-10-18,Equipo Seguridad,Bajo,Bajo,0.6058218681618232,31,Rendimiento Equipo
2020-10-18,Equipo Datos,Bajo,Bajo,0.547914255631647,22,Rendimiento Equipo
2020-10-18,Equipo Integración,Alto,Alto,0.48282037812176104,57,Rendimiento Equipo
2020-10-25,Equipo Desarrollo,Bajo,Bajo,0.6750148951314029,23,Rendimiento Equipo
2020-10-25,Equipo Infraestructura,Normal,Normal,0.656931609409648,35,Rendimiento Equipo
2020-10-25,Equipo Seguridad,Normal,Normal,0.5335723179036522,48,Rendimiento Equipo
2020-10-25,Equipo Datos,Alto,Alto,0.5307559192015714,57,Rendimiento Equipo
2020-10-25,Equipo Integración,Bajo,Bajo,0.5838877153560794,28,Rendimiento Equipo
2020-11-01,Equipo Desarrollo,Bajo,Bajo,0.7314379340807576,34,Rendimiento Equipo
2020-11-01,Equipo Infraestructura,Normal,Normal,0.6658605589244098,52,Rendimiento Equipo
2020-11-01,Equipo Seguridad,Bajo,Bajo,0.5823270296669847,22,Rendimiento Equipo
2020-11-01,Equipo Datos,Normal,Normal,0.592563492063492,38,Rendimiento Equipo
2020-11-01,Equipo Integración,Bajo,Bajo,0.6746097979330007,34,Rendimiento Equipo
2020-11-08,Equipo Desarrollo,Normal,Normal,0.6471378134424145,45,Rendimiento Equipo
2020-11-08,Equipo Infraestructura,Alto,Normal,0.7082949183445706,59,Rendimiento Equipo
2020-11-08,Equipo Seguridad,Normal,Normal,0.586256347517217,46,Rendimiento Equipo
2020-11-08,Equipo Datos,Bajo,Bajo,0.7044911477411478,25,Rendimiento Equipo
2020-11-08,Equipo Integración,Normal,Normal,0.5724087076389419,46,Rendimiento Equipo
2020-11-15,Equipo Desarrollo,Bajo,Bajo,0.530547139764997,20,Rendimiento Equipo
2020-11-15,Equipo Infraestructura,Normal,Normal,0.6783935740748052,41,Rendimiento Equipo
2020-11-15,Equipo Seguridad,Bajo,Bajo,0.61894623251145,34,Rendimiento Equipo
2020-11-15,Equipo Datos,Bajo,Bajo,0.7373116605616606,27,Rendimiento Equipo
2020-11-15,Equipo Integración,Normal,Normal,0.6093928346230688,45,Rendimiento Equipo
2020-11-22,Equipo Desarrollo,Normal,Normal,0.7398584467120182,38,Rendimiento Equipo
2020-11-22,Equipo Infraestructura,Normal,Normal,0.7466713518525829,35,Rendimiento Equipo
2020-11-22,Equipo Seguridad,Normal,Bajo,0.5595623941276116,40,Rendimiento Equipo
2020-11-22,Equipo Datos,Normal,Normal,0.8345637973137972,36,Rendimiento Equipo
2020-11-22,Equipo Integración,Bajo,Bajo,0.6647265710176832,26,Rendimiento Equipo
2020-11-29,Equipo Desarrollo,Normal,Normal,0.7524774943310658,49,Rendimiento Equipo
2020-11-29,Equipo Infraestructura,Normal,Normal,0.77381420899544,51,Rendimiento Equipo
2020-11-29,Equipo Seguridad,Normal,Normal,0.635631694392564,49,Rendimiento Equipo
2020-11-29,Equipo Datos,Normal,Normal,0.9334526862026862,37,Rendimiento Equipo
2020-11-29,Equipo Integración,Bajo,Bajo,0.6245548677209798,24,Rendimiento Equipo
2020-12-06,Equipo Desarrollo,Normal,Normal,0.6696997165532881,38,Rendimiento Equipo
2020-12-06,Equipo Infraestructura,Bajo,Bajo,0.5752418804852696,34,Rendimiento Equipo
2020-12-06,Equipo Seguridad,Normal,Normal,0.7211872499481196,51,Rendimiento Equipo
2020-12-06,Equipo Datos,Normal,Normal,0.9259130036630038,38,Rendimiento Equipo
2020-12-06,Equipo Integración,Normal,Normal,0.5494737349319104,45,Rendimiento Equipo
2020-12-13,Equipo Desarrollo,Bajo,Bajo,0.6519698412698414,31,Rendimiento Equipo
2020-12-13,Equipo Infraestructura,Normal,Normal,0.6826954448231044,46,Rendimiento Equipo
2020-12-13,Equipo Seguridad,Bajo,Bajo,0.5841863257515432,24,Rendimiento Equipo
2020-12-13,Equipo Datos,Normal,Normal,0.8609130036630037,36,Rendimiento Equipo
2020-12-13,Equipo Integración,Bajo,Bajo,0.6647839580750704,28,Rendimiento Equipo
2020-12-20,Equipo Desarrollo,Bajo,Bajo,0.6559142857142858,33,Rendimiento Equipo
2020-12-20,Equipo Infraestructura,Normal,Normal,0.6980525876802472,52,Rendimiento Equipo
2020-12-20,Equipo Seguridad,Normal,Normal,0.571711059471929,47,Rendimiento Equipo
2020-12-20,Equipo Datos,Normal,Normal,0.9265796703296704,46,Rendimiento Equipo
2020-12-20,Equipo Integración,Bajo,Bajo,0.7366570119218084,29,Rendimiento Equipo
2020-12-27,Equipo Desarrollo,Bajo,Bajo,0.7748666666666666,27,Rendimiento Equipo
2020-12-27,Equipo Infraestructura,Bajo,Normal,0.5204047619047619,28,Rendimiento Equipo
2020-12-27,Equipo Seguridad,Bajo,Bajo,0.629034810600028,21,Rendimiento Equipo
2020-12-27,Equipo Datos,Normal,Normal,0.9115796703296704,38,Rendimiento Equipo
2020-12-27,Equipo Integración,Alto,Alto,0.606487414187643,57,Rendimiento Equipo
2021-01-03,Equipo Desarrollo,Normal,Normal,0.7436881419234359,44,Rendimiento Equipo
2021-01-03,Equipo Infraestructura,Alto,Alto,0.5256141923436042,55,Rendimiento Equipo
2021-01-03,Equipo Seguridad,Alto,Alto,0.6051803256656197,59,Rendimiento Equipo
2021-01-03,Equipo Datos,Bajo,Bajo,0.5600846560846562,31,Rendimiento Equipo
2021-01-03,Equipo Integración,Bajo,Bajo,0.550576479076479,30,Rendimiento Equipo
2021-01-10,Equipo Desarrollo,Normal,Normal,0.7907468833848144,49,Rendimiento Equipo
2021-01-10,Equipo Infraestructura,Alto,Alto,0.6640867958294429,61,Rendimiento Equipo
2021-01-10,Equipo Seguridad,Bajo,Normal,0.7666386222473177,26,Rendimiento Equipo
2021-01-10,Equipo Datos,Bajo,Bajo,0.8247619047619049,30,Rendimiento Equipo
2021-01-10,Equipo Integración,Normal,Normal,0.8930070765760421,51,Rendimiento Equipo
2021-01-17,Equipo Desarrollo,Normal,Normal,0.7107468833848144,48,Rendimiento Equipo
2021-01-17,Equipo Infraestructura,Normal,Alto,0.5146009287553405,50,Rendimiento Equipo
2021-01-17,Equipo Seguridad,Normal,Normal,0.7442427889139844,45,Rendimiento Equipo
2021-01-17,Equipo Datos,Alto,Bajo,0.6972619047619049,57,Rendimiento Equipo
2021-01-17,Equipo Integración,Normal,Normal,0.9250471406786063,47,Rendimiento Equipo
2021-01-24,Equipo Desarrollo,Alto,Normal,0.6495987352366663,55,Rendimiento Equipo
2021-01-24,Equipo Infraestructura,Alto,Bajo,0.40882661347367233,55,Rendimiento Equipo
2021-01-24,Equipo Seguridad,Alto,Alto,0.5095740871447394,53,Rendimiento Equipo
2021-01-24,Equipo Datos,Bajo,Bajo,0.7939285714285714,23,Rendimiento Equipo
2021-01-24,Equipo Integración,Alto,Normal,0.8470471406786062,55,Rendimiento Equipo
2021-01-31,Equipo Desarrollo,Normal,Normal,0.7833764233870252,36,Rendimiento Equipo
2021-01-31,Equipo Infraestructura,Bajo,Bajo,0.5205309049412223,31,Rendimiento Equipo
2021-01-31,Equipo Seguridad,Normal,Normal,0.6282858312985231,35,Rendimiento Equipo
2021-01-31,Equipo Datos,Alto,Bajo,0.6628174603174604,59,Rendimiento Equipo
2021-01-31,Equipo Integración,Normal,Normal,0.8619752114927874,51,Rendimiento Equipo
2021-02-07,Equipo Desarrollo,Normal,Normal,0.6048367408473428,48,Rendimiento Equipo
2021-02-07,Equipo Infraestructura,Normal,Normal,0.5646937624906684,36,Rendimiento Equipo
2021-02-07,Equipo Seguridad,Bajo,Bajo,0.6153541556423795,20,Rendimiento Equipo
2021-02-07,Equipo Datos,Normal,Normal,0.6342579365079365,45,Rendimiento Equipo
2021-02-07,Equipo Integración,Normal,Normal,0.8858509746185506,49,Rendimiento Equipo
2021-02-14,Equipo Desarrollo,Bajo,Normal,0.5333334728734865,34,Rendimiento Equipo
2021-02-14,Equipo Infraestructura,Alto,Normal,0.522717748185575,55,Rendimiento Equipo
2021-02-14,Equipo Seguridad,Bajo,Bajo,0.7640416941798069,24,Rendimiento Equipo
2021-02-14,Equipo Datos,Bajo,Normal,0.6991746031746031,34,Rendimiento Equipo
