fecha,equipo,estado,estado_predicho,probabilidad,cumplimiento_porcentaje,kpi
2020-02-16,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-02-16,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-02-23,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-02-23,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-02-23,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-02-23,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-02-23,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-01,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-01,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-01,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-01,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-01,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-08,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-08,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-08,Equipo Seguridad,Requiere acciones,Requiere acciones,0.94,0.0,Cumplimiento Retrospectivas
2020-03-08,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-08,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-15,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-15,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-15,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-15,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-15,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-22,Equipo Desarrollo,Requiere acciones,Requiere acciones,0.97,0.0,Cumplimiento Retrospectivas
2020-03-22,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-22,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-22,Equipo Datos,Requiere acciones,Requiere acciones,0.98,0.0,Cumplimiento Retrospectivas
2020-03-22,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-29,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-29,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-29,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-29,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-03-29,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-05,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-05,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-05,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-05,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-05,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-12,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-12,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-12,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-12,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-12,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-19,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-19,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-19,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-19,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-19,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-26,Equipo Desarrollo,Requiere acciones,Requiere acciones,0.99,0.0,Cumplimiento Retrospectivas
2020-04-26,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-26,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-26,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-04-26,Equipo Integración,Requiere acciones,Requiere acciones,0.96,0.0,Cumplimiento Retrospectivas
2020-05-03,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-03,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-03,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-03,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-03,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-10,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-10,Equipo Infraestructura,Requiere acciones,Requiere acciones,1.0,0.0,Cumplimiento Retrospectivas
2020-05-10,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-10,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-10,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-17,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,0.999375,100.0,Cumplimiento Retrospectivas
2020-05-17,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-17,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-17,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-17,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-24,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,0.999375,100.0,Cumplimiento Retrospectivas
2020-05-24,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-24,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-24,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-24,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-31,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,0.999375,100.0,Cumplimiento Retrospectivas
2020-05-31,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-31,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-31,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-05-31,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-06-07,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,0.999375,100.0,Cumplimiento Retrospectivas
2020-06-07,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-06-07,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-06-07,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-06-07,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-06-14,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,0.999375,100.0,Cumplimiento Retrospectivas
2020-06-14,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-06-14,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-06-14,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-06-14,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-06-21,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,0.999375,100.0,Cumplimiento Retrospectivas
2020-06-21,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-06-21,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-06-21,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-06-21,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-06-28,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,0.999375,100.0,Cumplimiento Retrospectivas
2020-06-28,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-06-28,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-06-28,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-06-28,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-07-05,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,0.999375,100.0,Cumplimiento Retrospectivas
2020-07-05,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-07-05,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-07-05,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-07-05,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-07-12,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,0.999375,100.0,Cumplimiento Retrospectivas
2020-07-12,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-07-12,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-07-12,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-07-12,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-07-19,Equipo Desarrollo,Requiere acciones,Requiere acciones,0.99,0.0,Cumplimiento Retrospectivas
2020-07-19,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-07-19,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-07-19,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-07-19,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-07-26,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-07-26,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-07-26,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-07-26,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-07-26,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-02,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-02,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-02,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-02,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-02,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-09,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-09,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-09,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-09,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-09,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-16,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-16,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-16,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-16,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-16,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-23,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-23,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-23,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-23,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-23,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-30,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-30,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-30,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-30,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-08-30,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-06,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-06,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-06,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-06,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-06,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-13,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-13,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-13,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-13,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-13,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-20,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-20,Equipo Infraestructura,Requiere acciones,Requiere acciones,1.0,0.0,Cumplimiento Retrospectivas
2020-09-20,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-20,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-20,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-27,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-27,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-27,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-27,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-09-27,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-04,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-04,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-04,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-04,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-04,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-11,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-11,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-11,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-11,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-11,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-18,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-18,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-18,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-18,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-18,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-25,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-25,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-25,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-25,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-10-25,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-01,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-01,Equipo Infraestructura,Requiere acciones,Requiere acciones,0.98,0.0,Cumplimiento Retrospectivas
2020-11-01,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-01,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-01,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-08,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-08,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-08,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-08,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-08,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-15,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-15,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-15,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-15,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-15,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-22,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,0.99,100.0,Cumplimiento Retrospectivas
2020-11-22,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-22,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-22,Equipo Datos,Cumplimiento total,Cumplimiento total,0.99,100.0,Cumplimiento Retrospectivas
2020-11-22,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-29,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-29,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-29,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-29,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-11-29,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-12-06,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
