fecha,tipo_proyecto,estado,estado_predicho,probabilidad,cobertura_porcentaje,kpi
2020-05-08,Análisis Predictivo,Aceptable,Aceptable,1.0,88.35889336312005,Cobertura Datos
2020-05-06,Visión,Aceptable,Aceptable,1.0,75.65955082573171,Cobertura Datos
2020-05-04,Análisis Predictivo,Aceptable,Aceptable,1.0,88.86990392634281,Cobertura Datos
2020-05-07,Análisis Predictivo,Aceptable,Aceptable,1.0,88.10467606266516,Cobertura Datos
2020-05-08,Visión,Aceptable,Aceptable,1.0,89.56978586710052,Cobertura Datos
2020-05-15,Clasificación,Alta representatividad,Alta representatividad,1.0,93.81289884288732,Cobertura Datos
2020-05-13,NLP,Aceptable,Aceptable,0.93,88.50464681985918,Cobertura Datos
2020-05-13,Optimización,Aceptable,Aceptable,1.0,79.14966761498678,Cobertura Datos
2020-05-10,Clustering,Alta representatividad,Alta representatividad,1.0,90.55345442141432,Cobertura Datos
2020-05-12,Visión,Aceptable,Aceptable,1.0,88.0924057028596,Cobertura Datos
2020-05-18,NLP,Aceptable,Aceptable,1.0,84.93073883232302,Cobertura Datos
2020-05-22,Optimización,Aceptable,Aceptable,1.0,79.19965522658586,Cobertura Datos
2020-05-22,Análisis Predictivo,Alta representatividad,Alta representatividad,0.99,93.94727858661524,Cobertura Datos
2020-05-18,Clasificación,Aceptable,Aceptable,1.0,83.33162331156356,Cobertura Datos
2020-05-18,Clasificación,Aceptable,Aceptable,1.0,86.33068780296811,Cobertura Datos
2020-05-28,Optimización,Aceptable,Aceptable,1.0,80.79944028870914,Cobertura Datos
2020-05-28,Regresión,Alta representatividad,Alta representatividad,0.99,90.30119802918443,Cobertura Datos
2020-05-27,Análisis Predictivo,Aceptable,Aceptable,1.0,78.86702716606474,Cobertura Datos
2020-05-29,Clasificación,Alta representatividad,Alta representatividad,1.0,91.07649417923272,Cobertura Datos
2020-05-26,Visión,Aceptable,Aceptable,0.996,72.80647714546109,Cobertura Datos
2020-05-31,Regresión,Aceptable,Aceptable,1.0,88.4330092472393,Cobertura Datos
2020-06-05,Visión,Aceptable,Aceptable,0.996,82.39893588000791,Cobertura Datos
2020-05-31,Detección de Anomalías,Aceptable,Aceptable,0.995925925925926,88.16759263596961,Cobertura Datos
2020-06-02,Clustering,Aceptable,Aceptable,1.0,83.81628671921337,Cobertura Datos
2020-06-01,Análisis Predictivo,Aceptable,Aceptable,1.0,73.49196452029365,Cobertura Datos
2020-06-09,Clustering,Aceptable,Aceptable,1.0,82.40178010631105,Cobertura Datos
2020-06-07,Detección de Anomalías,Alta representatividad,Alta representatividad,0.994074074074074,95.0785332372819,Cobertura Datos
2020-06-11,Visión,Aceptable,Aceptable,0.99,89.62585563215649,Cobertura Datos
2020-06-09,Optimización,Aceptable,Aceptable,1.0,77.80492133255763,Cobertura Datos
2020-06-10,Optimización,Alta representatividad,Alta representatividad,1.0,94.54696784557798,Cobertura Datos
2020-06-18,Visión,Alta representatividad,Alta representatividad,0.91,90.2526032069168,Cobertura Datos
2020-06-17,Clustering,Aceptable,Aceptable,1.0,79.47562514803212,Cobertura Datos
2020-06-17,Optimización,Aceptable,Aceptable,1.0,85.69292311018081,Cobertura Datos
2020-06-16,NLP,Aceptable,Aceptable,1.0,81.09382570494613,Cobertura Datos
2020-06-17,Clustering,Aceptable,Aceptable,1.0,72.51395024119105,Cobertura Datos
2020-06-26,Clasificación,Alta representatividad,Alta representatividad,1.0,90.95676456540744,Cobertura Datos
2020-06-22,Clasificación,Aceptable,Aceptable,1.0,74.96803125331556,Cobertura Datos
2020-06-23,Visión,Aceptable,Aceptable,0.99,81.90899570013516,Cobertura Datos
2020-06-21,Regresión,Aceptable,Aceptable,0.99,88.26859114310302,Cobertura Datos
2020-06-22,Detección de Anomalías,Alta representatividad,Alta representatividad,1.0,94.23755590949852,Cobertura Datos
2020-07-02,Optimización,Aceptable,Aceptable,1.0,71.63087835162362,Cobertura Datos
2020-06-30,Optimización,Aceptable,Aceptable,1.0,80.22407247638498,Cobertura Datos
2020-06-28,Visión,Aceptable,Aceptable,1.0,85.98084084704524,Cobertura Datos
2020-06-28,Clasificación,Alta representatividad,Alta representatividad,0.99,90.26204194175055,Cobertura Datos
2020-06-30,Clasificación,Alta representatividad,Alta representatividad,0.99,93.94421057861302,Cobertura Datos
2020-07-06,Clasificación,Aceptable,Aceptable,1.0,70.0129301913812,Cobertura Datos
2020-07-10,Análisis Predictivo,Aceptable,Aceptable,1.0,86.3218479501682,Cobertura Datos
2020-07-05,Detección de Anomalías,Aceptable,Aceptable,0.99,70.18036005506124,Cobertura Datos
2020-07-07,Detección de Anomalías,Alta representatividad,Alta representatividad,0.97,90.4686374760607,Cobertura Datos
2020-07-07,Análisis Predictivo,Aceptable,Aceptable,1.0,73.89133152237365,Cobertura Datos
2020-07-17,Optimización,Alta representatividad,Alta representatividad,1.0,93.26013662295767,Cobertura Datos
2020-07-15,Clustering,Aceptable,Aceptable,1.0,74.033230129397,Cobertura Datos
2020-07-14,NLP,Aceptable,Aceptable,1.0,89.87255352972707,Cobertura Datos
2020-07-12,NLP,Aceptable,Aceptable,1.0,77.52190212316273,Cobertura Datos
2020-07-15,Clustering,Aceptable,Aceptable,1.0,84.4886009275866,Cobertura Datos
2020-07-19,Regresión,Aceptable,Aceptable,1.0,85.81929011272044,Cobertura Datos
2020-07-20,Regresión,Aceptable,Aceptable,1.0,75.37577686482555,Cobertura Datos
2020-07-20,Optimización,Aceptable,Aceptable,1.0,77.76611897167743,Cobertura Datos
2020-07-19,Regresión,Aceptable,Aceptable,1.0,72.79520234336697,Cobertura Datos
2020-07-23,Clasificación,Aceptable,Aceptable,1.0,70.13751413980414,Cobertura Datos
2020-07-30,Detección de Anomalías,Aceptable,Aceptable,0.995925925925926,76.22616900141763,Cobertura Datos
2020-07-30,Clustering,Aceptable,Aceptable,1.0,83.41606125181497,Cobertura Datos
2020-07-26,Visión,Aceptable,Aceptable,0.99,88.55352874504952,Cobertura Datos
2020-07-28,Clasificación,Alta representatividad,Alta representatividad,0.99,90.63255025239022,Cobertura Datos
2020-07-29,Regresión,Aceptable,Aceptable,1.0,71.8139149791527,Cobertura Datos
2020-08-04,Regresión,Aceptable,Aceptable,1.0,77.08273505027117,Cobertura Datos
2020-08-07,Detección de Anomalías,Alta representatividad,Alta representatividad,0.83,90.02582344728327,Cobertura Datos
2020-08-02,NLP,Aceptable,Aceptable,1.0,82.50259074786564,Cobertura Datos
2020-08-07,Clustering,Aceptable,Aceptable,1.0,74.73686167049034,Cobertura Datos
2020-08-07,NLP,Aceptable,Aceptable,1.0,80.19756420530877,Cobertura Datos
2020-08-11,Clasificación,Aceptable,Aceptable,1.0,77.02088896339885,Cobertura Datos
2020-08-14,Detección de Anomalías,Aceptable,Aceptable,1.0,71.31699113660974,Cobertura Datos
2020-08-10,Visión,Aceptable,Aceptable,0.996,89.85430578554977,Cobertura Datos
2020-08-12,Visión,Aceptable,Aceptable,1.0,77.58403518392413,Cobertura Datos
2020-08-09,Clustering,Alta representatividad,Alta representatividad,1.0,94.57341452625954,Cobertura Datos
2020-08-19,Regresión,Alta representatividad,Alta representatividad,1.0,93.09125105159649,Cobertura Datos
2020-08-20,NLP,Aceptable,Aceptable,1.0,88.6232144860764,Cobertura Datos
2020-08-20,Clustering,Aceptable,Aceptable,1.0,78.49249406788402,Cobertura Datos
2020-08-17,Detección de Anomalías,Aceptable,Aceptable,0.995925925925926,77.27801236970731,Cobertura Datos
2020-08-16,Visión,Aceptable,Aceptable,1.0,82.35705848411843,Cobertura Datos
2020-08-27,Detección de Anomalías,Aceptable,Aceptable,0.995925925925926,79.21966500851866,Cobertura Datos
2020-08-26,Regresión,Alta representatividad,Alta representatividad,0.99,93.43011642466196,Cobertura Datos
2020-08-26,NLP,Aceptable,Aceptable,1.0,73.21087362131209,Cobertura Datos
2020-08-24,Detección de Anomalías,Aceptable,Aceptable,0.995925925925926,88.8361569659911,Cobertura Datos
2020-08-28,Clasificación,Aceptable,Aceptable,0.99,85.8833166524723,Cobertura Datos
2020-09-03,NLP,Alta representatividad,Alta representatividad,1.0,90.96383097474556,Cobertura Datos
2020-09-01,Regresión,Aceptable,Aceptable,0.996,84.10467049550536,Cobertura Datos
2020-09-03,Detección de Anomalías,Aceptable,Aceptable,0.995925925925926,86.3680576180024,Cobertura Datos
2020-08-31,Visión,Alta representatividad,Alta representatividad,0.9940000000000001,95.03125643112836,Cobertura Datos
2020-09-03,Optimización,Aceptable,Aceptable,1.0,72.39100037017819,Cobertura Datos
2020-09-06,Clasificación,Aceptable,Aceptable,1.0,72.72650712924364,Cobertura Datos
2020-09-07,Clasificación,Aceptable,Aceptable,1.0,80.23379980292533,Cobertura Datos
2020-09-08,Clasificación,Aceptable,Aceptable,1.0,82.2910526284258,Cobertura Datos
2020-09-09,Clustering,Aceptable,Aceptable,1.0,75.19667309362923,Cobertura Datos
2020-09-10,Análisis Predictivo,Aceptable,Aceptable,1.0,72.14936272155458,Cobertura Datos
2020-09-18,Visión,Aceptable,Aceptable,1.0,70.57658267066815,Cobertura Datos
2020-09-16,Visión,Aceptable,Aceptable,0.99,89.8793985115918,Cobertura Datos
2020-09-14,Regresión,Aceptable,Aceptable,1.0,82.61149223525945,Cobertura Datos
2020-09-16,Análisis Predictivo,Alta representatividad,Alta representatividad,1.0,91.9284891756624,Cobertura Datos
2020-09-18,Detección de Anomalías,Aceptable,Aceptable,1.0,79.38176811100284,Cobertura Datos
2020-09-25,Regresión,Aceptable,Aceptable,1.0,88.28959938072735,Cobertura Datos
2020-09-25,Clustering,Aceptable,Aceptable,1.0,82.70153358144216,Cobertura Datos
2020-09-25,Clasificación,Aceptable,Aceptable,1.0,85.91381996394296,Cobertura Datos
2020-09-20,Clasificación,Aceptable,Aceptable,1.0,79.625117869149,Cobertura Datos
2020-09-25,Clustering,Aceptable,Aceptable,1.0,72.11041403163085,Cobertura Datos
2020-09-28,NLP,Alta representatividad,Alta representatividad,0.91,94.63171313749837,Cobertura Datos
2020-09-28,Clasificación,Alta representatividad,Alta representatividad,0.98,91.73833617588396,Cobertura Datos
2020-10-01,Clasificación,Aceptable,Aceptable,1.0,78.10918610202931,Cobertura Datos
2020-09-28,Detección de Anomalías,Alta representatividad,Alta representatividad,0.994074074074074,94.92627632414252,Cobertura Datos
2020-09-27,NLP,Aceptable,Aceptable,1.0,77.81270701679301,Cobertura Datos
2020-10-08,NLP,Aceptable,Aceptable,1.0,81.51774052563863,Cobertura Datos
2020-10-04,Optimización,Aceptable,Aceptable,0.98,89.63352717791079,Cobertura Datos
2020-10-06,Clustering,Aceptable,Aceptable,1.0,78.03411045664188,Cobertura Datos
2020-10-08,Regresión,Aceptable,Aceptable,1.0,78.437207444529,Cobertura Datos
2020-10-05,NLP,Aceptable,Aceptable,1.0,80.66213612808933,Cobertura Datos
2020-10-12,Optimización,Aceptable,Aceptable,1.0,82.17812334966926,Cobertura Datos
2020-10-12,Clustering,Aceptable,Aceptable,1.0,73.21402228714912,Cobertura Datos
2020-10-13,Regresión,Aceptable,Aceptable,1.0,70.45478310850422,Cobertura Datos
2020-10-11,Clustering,Alta representatividad,Alta representatividad,1.0,93.8980870142314,Cobertura Datos
2020-10-12,Clasificación,Aceptable,Aceptable,1.0,79.18290443259781,Cobertura Datos
2020-10-23,Clustering,Aceptable,Aceptable,1.0,72.64390364033997,Cobertura Datos
2020-10-21,NLP,Aceptable,Aceptable,0.99,89.73845645564114,Cobertura Datos
2020-10-23,Análisis Predictivo,Aceptable,Aceptable,1.0,77.67157744594516,Cobertura Datos
2020-10-19,NLP,Aceptable,Aceptable,1.0,74.72326592923761,Cobertura Datos
2020-10-22,Detección de Anomalías,Alta representatividad,Alta representatividad,0.994074074074074,95.02788685437731,Cobertura Datos
2020-10-29,Regresión,Alta representatividad,Alta representatividad,1.0,93.93411517780685,Cobertura Datos
2020-10-28,Clasificación,Aceptable,Aceptable,1.0,72.74939230636174,Cobertura Datos
2020-10-27,Análisis Predictivo,Alta representatividad,Alta representatividad,0.99,93.3814154553604,Cobertura Datos
2020-10-29,Visión,Alta representatividad,Alta representatividad,0.91,93.16255567608516,Cobertura Datos
2020-10-27,Clasificación,Aceptable,Aceptable,0.99,86.49373837588038,Cobertura Datos
2020-11-03,NLP,Aceptable,Aceptable,1.0,83.77318802314471,Cobertura Datos
2020-11-04,Detección de Anomalías,Aceptable,Aceptable,0.99,75.65340146283401,Cobertura Datos
2020-11-05,NLP,Aceptable,Aceptable,1.0,73.15599116055259,Cobertura Datos
2020-11-06,NLP,Aceptable,Aceptable,1.0,85.76559532496081,Cobertura Datos
2020-11-02,Análisis Predictivo,Alta representatividad,Alta representatividad,0.99,91.3708886747952,Cobertura Datos
2020-11-13,Clustering,Aceptable,Aceptable,0.94,87.90474021810641,Cobertura Datos
2020-11-13,Regresión,Aceptable,Aceptable,0.996,74.70081101535125,Cobertura Datos
2020-11-13,Clustering,Aceptable,Aceptable,1.0,77.54048464654446,Cobertura Datos
2020-11-10,Regresión,Aceptable,Aceptable,1.0,84.2068572669275,Cobertura Datos
2020-11-10,NLP,Aceptable,Aceptable,1.0,86.24980545613002,Cobertura Datos
2020-11-19,Clustering,Aceptable,Aceptable,1.0,71.87856792519123,Cobertura Datos
2020-11-19,Regresión,Aceptable,Aceptable,1.0,85.96534259436164,Cobertura Datos
2020-11-20,Regresión,Aceptable,Aceptable,0.996,89.14430426645418,Cobertura Datos
2020-11-18,Visión,Aceptable,Aceptable,1.0,74.71530406380347,Cobertura Datos
2020-11-15,Análisis Predictivo,Aceptable,Aceptable,1.0,76.40168659137963,Cobertura Datos
2020-11-27,Detección de Anomalías,Aceptable,Aceptable,1.0,76.73131134464657,Cobertura Datos
2020-11-27,Análisis Predictivo,Alta representatividad,Alta representatividad,1.0,94.4350665669722,Cobertura Datos
2020-11-22,Regresión,Aceptable,Aceptable,1.0,80.58241914048773,Cobertura Datos
2020-11-22,Detección de Anomalías,Aceptable,Aceptable,0.995925925925926,83.79485786599872,Cobertura Datos
2020-11-24,Optimización,Aceptable,Aceptable,1.0,88.83217309264262,Cobertura Datos
2020-12-02,Optimización,Aceptable,Aceptable,1.0,79.6579668480612,Cobertura Datos
2020-11-29,NLP,Aceptable,Aceptable,1.0,72.74444422055323,Cobertura Datos
2020-12-04,Clustering,Aceptable,Aceptable,1.0,87.01236863868674,Cobertura Datos
2020-12-03,Visión,Aceptable,Aceptable,1.0,87.34910233091686,Cobertura Datos
2020-12-04,Análisis Predictivo,Aceptable,Aceptable,1.0,76.77424319003157,Cobertura Datos
2020-12-08,Regresión,Aceptable,Aceptable,1.0,70.91595165611876,Cobertura Datos
2020-12-08,Clustering,Aceptable,Aceptable,1.0,87.29918201037978,Cobertura Datos
2020-12-11,Optimización,Aceptable,Aceptable,1.0,88.28906436365376,Cobertura Datos
2020-12-10,Optimización,Aceptable,Aceptable,1.0,70.67768720689187,Cobertura Datos
2020-12-09,NLP,Aceptable,Aceptable,0.99,88.02276497986166,Cobertura Datos
2020-12-16,Clasificación,Alta representatividad,Alta representatividad,0.93,94.41214279571788,Cobertura Datos
2020-12-13,Clasificación,Aceptable,Aceptable,0.99,74.64841735836673,Cobertura Datos
2020-12-17,Clustering,Aceptable,Aceptable,1.0,83.5544176196506,Cobertura Datos
2020-12-14,NLP,Aceptable,Aceptable,1.0,88.11618782241756,Cobertura Datos
2020-12-16,Clustering,Aceptable,Aceptable,1.0,75.98206445502555,Cobertura Datos
2020-12-20,Detección de Anomalías,Aceptable,Aceptable,0.99,89.54027118322621,Cobertura Datos
2020-12-22,Detección de Anomalías,Alta representatividad,Alta representatividad,1.0,92.5702991705902,Cobertura Datos
2020-12-23,Regresión,Alta representatividad,Alta representatividad,0.9740000000000001,91.17832498001565,Cobertura Datos
2020-12-21,Optimización,Aceptable,Aceptable,1.0,76.73137180545314,Cobertura Datos
2020-12-22,Análisis Predictivo,Alta representatividad,Alta representatividad,1.0,90.90962746171228,Cobertura Datos
2020-12-29,Análisis Predictivo,Aceptable,Aceptable,1.0,80.74692435446197,Cobertura Datos
2020-12-31,Clasificación,Aceptable,Aceptable,1.0,76.92804904537839,Cobertura Datos
2020-12-31,NLP,Aceptable,Aceptable,1.0,74.3672581465481,Cobertura Datos
2021-01-01,NLP,Alta representatividad,Alta representatividad,1.0,93.63351750517386,Cobertura Datos
2020-12-30,NLP,Aceptable,Aceptable,0.99,81.09933607943232,Cobertura Datos
2021-01-04,Detección de Anomalías,Alta representatividad,Alta representatividad,0.994074074074074,92.50901085895296,Cobertura Datos
2021-01-07,Regresión,Aceptable,Aceptable,1.0,74.14816971217462,Cobertura Datos
2021-01-03,NLP,Aceptable,Aceptable,1.0,89.94183011998108,Cobertura Datos
2021-01-05,Clasificación,Aceptable,Aceptable,1.0,72.86034704253713,Cobertura Datos
2021-01-03,Clasificación,Aceptable,Aceptable,1.0,70.45668859807851,Cobertura Datos
2021-01-12,Regresión,Alta representatividad,Alta representatividad,1.0,95.87128200088672,Cobertura Datos
2021-01-10,Regresión,Aceptable,Aceptable,0.99,71.91197066468176,Cobertura Datos
2021-01-12,Clustering,Aceptable,Aceptable,1.0,82.0000517536337,Cobertura Datos
2021-01-14,Optimización,Alta representatividad,Alta representatividad,1.0,92.8380199561834,Cobertura Datos
2021-01-10,NLP,Alta representatividad,Alta representatividad,0.99,91.30386824970968,Cobertura Datos
2021-01-20,Regresión,Aceptable,Aceptable,1.0,82.2505685368458,Cobertura Datos
2021-01-20,Regresión,Aceptable,Aceptable,1.0,85.88206117350967,Cobertura Datos
2021-01-18,Visión,Aceptable,Aceptable,1.0,86.3723599432333,Cobertura Datos
2021-01-18,Clasificación,Aceptable,Aceptable,1.0,72.85544955827704,Cobertura Datos
2021-01-22,Clasificación,Aceptable,Aceptable,1.0,77.4075064528308,Cobertura Datos
2021-01-25,Análisis Predictivo,Aceptable,Aceptable,1.0,77.82556219070851,Cobertura Datos
2021-01-24,Clustering,Aceptable,Aceptable,1.0,79.83133191390138,Cobertura Datos
2021-01-26,Análisis Predictivo,Aceptable,Aceptable,1.0,77.12185591379529,Cobertura Datos
2021-01-29,Análisis Predictivo,Aceptable,Aceptable,1.0,76.53895999799438,Cobertura Datos
2021-01-25,Regresión,Aceptable,Aceptable,1.0,79.22442333068011,Cobertura Datos
2021-02-04,Optimización,Aceptable,Aceptable,1.0,79.85988920548273,Cobertura Datos
2021-02-03,Clasificación,Aceptable,Aceptable,1.0,82.66782547572518,Cobertura Datos
2021-02-03,Detección de Anomalías,Aceptable,Aceptable,0.995925925925926,74.51192045585553,Cobertura Datos
2021-02-04,NLP,Alta representatividad,Alta representatividad,1.0,90.49675325149322,Cobertura Datos
2021-02-03,NLP,Alta representatividad,Alta representatividad,1.0,92.37736020963663,Cobertura Datos
2021-02-07,Optimización,Aceptable,Aceptable,1.0,76.45228697075513,Cobertura Datos
2021-02-11,Clustering,Aceptable,Aceptable,1.0,73.20581890506578,Cobertura Datos
2021-02-07,NLP,Aceptable,Aceptable,0.98,88.78011151284957,Cobertura Datos
2021-02-12,Detección de Anomalías,Alta representatividad,Alta representatividad,1.0,94.0303731907963,Cobertura Datos
2021-02-10,Clustering,Aceptable,Aceptable,1.0,70.91385681849698,Cobertura Datos
2021-02-18,NLP,Aceptable,Aceptable,1.0,70.37533545489232,Cobertura Datos
2021-02-18,Regresión,Aceptable,Aceptable,1.0,74.76906199599274,Cobertura Datos
2021-02-19,Visión,Aceptable,Aceptable,1.0,87.80460461800635,Cobertura Datos
2021-02-19,Clustering,Alta representatividad,Alta representatividad,1.0,95.0843062036032,Cobertura Datos
2021-02-19,Visión,Aceptable,Aceptable,0.96,89.50990483414247,Cobertura Datos
2021-02-25,NLP,Aceptable,Aceptable,0.99,84.8988476094968,Cobertura Datos
