sprint,fecha_inicio,año,semana,equipo,velocidad_puntos_historia,tendencia,rendimiento
Sprint_036,2020-09-06,2020,36,Equipo Integración,24,Decreciente,Posible sobrecarga
Sprint_037,2020-09-13,2020,37,Equipo Desarrollo,30,Decreciente,Posible sobrecarga
Sprint_037,2020-09-13,2020,37,Equipo Infraestructura,59,Creciente,Buen rendimiento
Sprint_037,2020-09-13,2020,37,Equipo Seguridad,47,Creciente,Buen rendimiento
Sprint_037,2020-09-13,2020,37,Equipo Datos,21,Decreciente,Posible sobrecarga
Sprint_037,2020-09-13,2020,37,Equipo Integración,40,Estable,Buen rendimiento
Sprint_038,2020-09-20,2020,38,Equipo Desarrollo,41,Estable,Buen rendimiento
Sprint_038,2020-09-20,2020,38,Equipo Infraestructura,50,Creciente,Buen rendimiento
Sprint_038,2020-09-20,2020,38,Equipo Seguridad,20,Decreciente,Posible sobrecarga
Sprint_038,2020-09-20,2020,38,Equipo Datos,55,Creciente,Buen rendimiento
Sprint_038,2020-09-20,2020,38,Equipo Integración,46,Creciente,Buen rendimiento
Sprint_039,2020-09-27,2020,39,Equipo Desarrollo,52,Creciente,Buen rendimiento
Sprint_039,2020-09-27,2020,39,Equipo Infraestructura,28,Decreciente,Posible sobrecarga
Sprint_039,2020-09-27,2020,39,Equipo Seguridad,60,Creciente,Buen rendimiento
Sprint_039,2020-09-27,2020,39,Equipo Datos,41,Estable,Buen rendimiento
Sprint_039,2020-09-27,2020,39,Equipo Integración,36,Estable,Buen rendimiento
Sprint_040,2020-10-04,2020,40,Equipo Desarrollo,31,Decreciente,Posible sobrecarga
Sprint_040,2020-10-04,2020,40,Equipo Infraestructura,56,Creciente,Buen rendimiento
Sprint_040,2020-10-04,2020,40,Equipo Seguridad,57,Creciente,Buen rendimiento
Sprint_040,2020-10-04,2020,40,Equipo Datos,47,Creciente,Buen rendimiento
Sprint_040,2020-10-04,2020,40,Equipo Integración,26,Decreciente,Posible sobrecarga
Sprint_041,2020-10-11,2020,41,Equipo Desarrollo,50,Creciente,Buen rendimiento
Sprint_041,2020-10-11,2020,41,Equipo Infraestructura,44,Estable,Buen rendimiento
Sprint_041,2020-10-11,2020,41,Equipo Seguridad,50,Creciente,Buen rendimiento
Sprint_041,2020-10-11,2020,41,Equipo Datos,40,Estable,Buen rendimiento
Sprint_041,2020-10-11,2020,41,Equipo Integración,60,Creciente,Buen rendimiento
Sprint_042,2020-10-18,2020,42,Equipo Desarrollo,48,Creciente,Buen rendimiento
Sprint_042,2020-10-18,2020,42,Equipo Infraestructura,23,Decreciente,Posible sobrecarga
Sprint_042,2020-10-18,2020,42,Equipo Seguridad,31,Decreciente,Posible sobrecarga
Sprint_042,2020-10-18,2020,42,Equipo Datos,22,Decreciente,Posible sobrecarga
Sprint_042,2020-10-18,2020,42,Equipo Integración,57,Creciente,Buen rendimiento
Sprint_043,2020-10-25,2020,43,Equipo Desarrollo,23,Decreciente,Posible sobrecarga
Sprint_043,2020-10-25,2020,43,Equipo Infraestructura,35,Decreciente,Posible sobrecarga
Sprint_043,2020-10-25,2020,43,Equipo Seguridad,48,Creciente,Buen rendimiento
Sprint_043,2020-10-25,2020,43,Equipo Datos,57,Creciente,Buen rendimiento
Sprint_043,2020-10-25,2020,43,Equipo Integración,28,Decreciente,Posible sobrecarga
Sprint_044,2020-11-01,2020,44,Equipo Desarrollo,34,Decreciente,Posible sobrecarga
Sprint_044,2020-11-01,2020,44,Equipo Infraestructura,52,Creciente,Buen rendimiento
Sprint_044,2020-11-01,2020,44,Equipo Seguridad,22,Decreciente,Posible sobrecarga
Sprint_044,2020-11-01,2020,44,Equipo Datos,38,Estable,Buen rendimiento
Sprint_044,2020-11-01,2020,44,Equipo Integración,34,Decreciente,Posible sobrecarga
Sprint_045,2020-11-08,2020,45,Equipo Desarrollo,45,Creciente,Buen rendimiento
Sprint_045,2020-11-08,2020,45,Equipo Infraestructura,59,Creciente,Buen rendimiento
Sprint_045,2020-11-08,2020,45,Equipo Seguridad,46,Creciente,Buen rendimiento
Sprint_045,2020-11-08,2020,45,Equipo Datos,25,Decreciente,Posible sobrecarga
Sprint_045,2020-11-08,2020,45,Equipo Integración,46,Creciente,Buen rendimiento
Sprint_046,2020-11-15,2020,46,Equipo Desarrollo,20,Decreciente,Posible sobrecarga
Sprint_046,2020-11-15,2020,46,Equipo Infraestructura,41,Estable,Buen rendimiento
Sprint_046,2020-11-15,2020,46,Equipo Seguridad,34,Decreciente,Posible sobrecarga
Sprint_046,2020-11-15,2020,46,Equipo Datos,27,Decreciente,Posible sobrecarga
Sprint_046,2020-11-15,2020,46,Equipo Integración,45,Creciente,Buen rendimiento
Sprint_047,2020-11-22,2020,47,Equipo Desarrollo,38,Estable,Buen rendimiento
Sprint_047,2020-11-22,2020,47,Equipo Infraestructura,35,Decreciente,Posible sobrecarga
Sprint_047,2020-11-22,2020,47,Equipo Seguridad,40,Estable,Buen rendimiento
Sprint_047,2020-11-22,2020,47,Equipo Datos,36,Estable,Buen rendimiento
Sprint_047,2020-11-22,2020,47,Equipo Integración,26,Decreciente,Posible sobrecarga
Sprint_048,2020-11-29,2020,48,Equipo Desarrollo,49,Creciente,Buen rendimiento
Sprint_048,2020-11-29,2020,48,Equipo Infraestructura,51,Creciente,Buen rendimiento
Sprint_048,2020-11-29,2020,48,Equipo Seguridad,49,Creciente,Buen rendimiento
Sprint_048,2020-11-29,2020,48,Equipo Datos,37,Estable,Buen rendimiento
Sprint_048,2020-11-29,2020,48,Equipo Integración,24,Decreciente,Posible sobrecarga
Sprint_049,2020-12-06,2020,49,Equipo Desarrollo,38,Estable,Buen rendimiento
Sprint_049,2020-12-06,2020,49,Equipo Infraestructura,34,Decreciente,Posible sobrecarga
Sprint_049,2020-12-06,2020,49,Equipo Seguridad,51,Creciente,Buen rendimiento
Sprint_049,2020-12-06,2020,49,Equipo Datos,38,Estable,Buen rendimiento
Sprint_049,2020-12-06,2020,49,Equipo Integración,45,Creciente,Buen rendimiento
Sprint_050,2020-12-13,2020,50,Equipo Desarrollo,31,Decreciente,Posible sobrecarga
Sprint_050,2020-12-13,2020,50,Equipo Infraestructura,46,Creciente,Buen rendimiento
Sprint_050,2020-12-13,2020,50,Equipo Seguridad,24,Decreciente,Posible sobrecarga
Sprint_050,2020-12-13,2020,50,Equipo Datos,36,Estable,Buen rendimiento
Sprint_050,2020-12-13,2020,50,Equipo Integración,28,Decreciente,Posible sobrecarga
Sprint_051,2020-12-20,2020,51,Equipo Desarrollo,33,Decreciente,Posible sobrecarga
Sprint_051,2020-12-20,2020,51,Equipo Infraestructura,52,Creciente,Buen rendimiento
Sprint_051,2020-12-20,2020,51,Equipo Seguridad,47,Creciente,Buen rendimiento
Sprint_051,2020-12-20,2020,51,Equipo Datos,46,Creciente,Buen rendimiento
Sprint_051,2020-12-20,2020,51,Equipo Integración,29,Decreciente,Posible sobrecarga
Sprint_052,2020-12-27,2020,52,Equipo Desarrollo,27,Decreciente,Posible sobrecarga
Sprint_052,2020-12-27,2020,52,Equipo Infraestructura,28,Decreciente,Posible sobrecarga
Sprint_052,2020-12-27,2020,52,Equipo Seguridad,21,Decreciente,Posible sobrecarga
Sprint_052,2020-12-27,2020,52,Equipo Datos,38,Estable,Buen rendimiento
Sprint_052,2020-12-27,2020,52,Equipo Integración,57,Creciente,Buen rendimiento
Sprint_053,2021-01-03,2021,53,Equipo Desarrollo,44,Estable,Buen rendimiento
Sprint_053,2021-01-03,2021,53,Equipo Infraestructura,55,Creciente,Buen rendimiento
Sprint_053,2021-01-03,2021,53,Equipo Seguridad,59,Creciente,Buen rendimiento
Sprint_053,2021-01-03,2021,53,Equipo Datos,31,Decreciente,Posible sobrecarga
Sprint_053,2021-01-03,2021,53,Equipo Integración,30,Decreciente,Posible sobrecarga
Sprint_054,2021-01-10,2021,1,Equipo Desarrollo,49,Creciente,Buen rendimiento
Sprint_054,2021-01-10,2021,1,Equipo Infraestructura,61,Creciente,Buen rendimiento
Sprint_054,2021-01-10,2021,1,Equipo Seguridad,26,Decreciente,Posible sobrecarga
Sprint_054,2021-01-10,2021,1,Equipo Datos,30,Decreciente,Posible sobrecarga
Sprint_054,2021-01-10,2021,1,Equipo Integración,51,Creciente,Buen rendimiento
Sprint_055,2021-01-17,2021,2,Equipo Desarrollo,48,Creciente,Buen rendimiento
Sprint_055,2021-01-17,2021,2,Equipo Infraestructura,50,Creciente,Buen rendimiento
Sprint_055,2021-01-17,2021,2,Equipo Seguridad,45,Creciente,Buen rendimiento
Sprint_055,2021-01-17,2021,2,Equipo Datos,57,Creciente,Buen rendimiento
Sprint_055,2021-01-17,2021,2,Equipo Integración,47,Creciente,Buen rendimiento
Sprint_056,2021-01-24,2021,3,Equipo Desarrollo,55,Creciente,Buen rendimiento
Sprint_056,2021-01-24,2021,3,Equipo Infraestructura,55,Creciente,Buen rendimiento
Sprint_056,2021-01-24,2021,3,Equipo Seguridad,53,Creciente,Buen rendimiento
Sprint_056,2021-01-24,2021,3,Equipo Datos,23,Decreciente,Posible sobrecarga
Sprint_056,2021-01-24,2021,3,Equipo Integración,55,Creciente,Buen rendimiento
Sprint_057,2021-01-31,2021,4,Equipo Desarrollo,36,Estable,Buen rendimiento
Sprint_057,2021-01-31,2021,4,Equipo Infraestructura,31,Decreciente,Posible sobrecarga
Sprint_057,2021-01-31,2021,4,Equipo Seguridad,35,Decreciente,Posible sobrecarga
Sprint_057,2021-01-31,2021,4,Equipo Datos,59,Creciente,Buen rendimiento
Sprint_057,2021-01-31,2021,4,Equipo Integración,51,Creciente,Buen rendimiento
Sprint_058,2021-02-07,2021,5,Equipo Desarrollo,48,Creciente,Buen rendimiento
Sprint_058,2021-02-07,2021,5,Equipo Infraestructura,36,Estable,Buen rendimiento
Sprint_058,2021-02-07,2021,5,Equipo Seguridad,20,Decreciente,Posible sobrecarga
Sprint_058,2021-02-07,2021,5,Equipo Datos,45,Creciente,Buen rendimiento
Sprint_058,2021-02-07,2021,5,Equipo Integración,49,Creciente,Buen rendimiento
Sprint_059,2021-02-14,2021,6,Equipo Desarrollo,34,Decreciente,Posible sobrecarga
Sprint_059,2021-02-14,2021,6,Equipo Infraestructura,55,Creciente,Buen rendimiento
Sprint_059,2021-02-14,2021,6,Equipo Seguridad,24,Decreciente,Posible sobrecarga
Sprint_059,2021-02-14,2021,6,Equipo Datos,34,Decreciente,Posible sobrecarga
Sprint_059,2021-02-14,2021,6,Equipo Integración,36,Estable,Buen rendimiento
Sprint_060,2021-02-21,2021,7,Equipo Desarrollo,35,Decreciente,Posible sobrecarga
Sprint_060,2021-02-21,2021,7,Equipo Infraestructura,55,Creciente,Buen rendimiento
Sprint_060,2021-02-21,2021,7,Equipo Seguridad,33,Decreciente,Posible sobrecarga
Sprint_060,2021-02-21,2021,7,Equipo Datos,37,Estable,Buen rendimiento
Sprint_060,2021-02-21,2021,7,Equipo Integración,49,Creciente,Buen rendimiento
Sprint_061,2021-02-28,2021,8,Equipo Desarrollo,30,Decreciente,Posible sobrecarga
Sprint_061,2021-02-28,2021,8,Equipo Infraestructura,37,Estable,Buen rendimiento
Sprint_061,2021-02-28,2021,8,Equipo Seguridad,28,Decreciente,Posible sobrecarga
Sprint_061,2021-02-28,2021,8,Equipo Datos,21,Decreciente,Posible sobrecarga
Sprint_061,2021-02-28,2021,8,Equipo Integración,20,Decreciente,Posible sobrecarga
Sprint_062,2021-03-07,2021,9,Equipo Desarrollo,25,Decreciente,Posible sobrecarga
Sprint_062,2021-03-07,2021,9,Equipo Infraestructura,56,Creciente,Buen rendimiento
Sprint_062,2021-03-07,2021,9,Equipo Seguridad,42,Estable,Buen rendimiento
