fecha,mes,año,semana,trimestre,area_proceso,procesos_totales,procesos_documentados,porcentaje_documentacion,estado
2020-02-09,2020-02,2020,6,Q1,Gestión de Configuración,9,6,71.81,Aceptable
2020-02-09,2020-02,2020,6,Q1,Aseguramiento de Calidad,8,5,74.77,Aceptable
2020-02-09,2020-02,2020,6,Q1,Gestión de Riesgos,11,7,68.31,Riesgo Alto
2020-02-09,2020-02,2020,6,Q1,Gestión de Proveedores,8,5,67.24,Riesgo Alto
2020-02-09,2020-02,2020,6,Q1,Medición y Análisis,6,3,66.45,Riesgo Alto
2020-02-09,2020-02,2020,6,Q1,Mejora de Procesos,13,8,66.91,Riesgo Alto
2020-02-09,2020-02,2020,6,Q1,Gestión de Recursos Humanos,7,5,73.93,Aceptable
2020-02-16,2020-02,2020,7,Q1,Gestión de Proyectos,7,5,72.58,Aceptable
2020-02-16,2020-02,2020,7,Q1,Gestión de Requisitos,7,5,72.35,Aceptable
2020-02-16,2020-02,2020,7,Q1,Desarrollo de Software,11,7,66.97,Riesgo Alto
2020-02-16,2020-02,2020,7,Q1,Gestión de Configuración,8,5,71.3,Aceptable
2020-02-16,2020-02,2020,7,Q1,Aseguramiento de Calidad,12,8,69.8,Riesgo Alto
2020-02-16,2020-02,2020,7,Q1,Gestión de Riesgos,5,3,65.98,Riesgo Alto
2020-02-16,2020-02,2020,7,Q1,Gestión de Proveedores,11,7,68.89,Riesgo Alto
2020-02-16,2020-02,2020,7,Q1,Medición y Análisis,5,3,69.13,Riesgo Alto
2020-02-16,2020-02,2020,7,Q1,Mejora de Procesos,8,5,74.66,Aceptable
2020-02-16,2020-02,2020,7,Q1,Gestión de Recursos Humanos,11,8,74.37,Aceptable
2020-02-23,2020-02,2020,8,Q1,Gestión de Proyectos,11,8,74.88,Aceptable
2020-02-23,2020-02,2020,8,Q1,Gestión de Requisitos,10,6,69.77,Riesgo Alto
2020-02-23,2020-02,2020,8,Q1,Desarrollo de Software,5,3,75.7,Aceptable
2020-02-23,2020-02,2020,8,Q1,Gestión de Configuración,7,4,67.67,Riesgo Alto
2020-02-23,2020-02,2020,8,Q1,Aseguramiento de Calidad,8,5,68.97,Riesgo Alto
2020-02-23,2020-02,2020,8,Q1,Gestión de Riesgos,13,8,68.1,Riesgo Alto
2020-02-23,2020-02,2020,8,Q1,Gestión de Proveedores,10,7,70.69,Aceptable
2020-02-23,2020-02,2020,8,Q1,Medición y Análisis,7,4,67.55,Riesgo Alto
2020-02-23,2020-02,2020,8,Q1,Mejora de Procesos,6,4,67.23,Riesgo Alto
2020-02-23,2020-02,2020,8,Q1,Gestión de Recursos Humanos,8,5,68.99,Riesgo Alto
2020-03-01,2020-03,2020,9,Q1,Gestión de Proyectos,5,3,67.83,Riesgo Alto
2020-03-01,2020-03,2020,9,Q1,Gestión de Requisitos,11,7,71.69,Aceptable
2020-03-01,2020-03,2020,9,Q1,Desarrollo de Software,9,6,69.86,Riesgo Alto
2020-03-01,2020-03,2020,9,Q1,Gestión de Configuración,13,8,66.94,Riesgo Alto
2020-03-01,2020-03,2020,9,Q1,Aseguramiento de Calidad,12,8,72.23,Aceptable
2020-03-01,2020-03,2020,9,Q1,Gestión de Riesgos,11,8,74.52,Aceptable
2020-03-01,2020-03,2020,9,Q1,Gestión de Proveedores,6,3,66.4,Riesgo Alto
2020-03-01,2020-03,2020,9,Q1,Medición y Análisis,10,7,71.15,Aceptable
2020-03-01,2020-03,2020,9,Q1,Mejora de Procesos,8,5,68.58,Riesgo Alto
2020-03-01,2020-03,2020,9,Q1,Gestión de Recursos Humanos,10,6,68.99,Riesgo Alto
2020-03-08,2020-03,2020,10,Q1,Gestión de Proyectos,14,9,67.87,Riesgo Alto
2020-03-08,2020-03,2020,10,Q1,Gestión de Requisitos,6,3,66.36,Riesgo Alto
2020-03-08,2020-03,2020,10,Q1,Desarrollo de Software,14,10,73.93,Aceptable
2020-03-08,2020-03,2020,10,Q1,Gestión de Configuración,7,4,70.37,Aceptable
2020-03-08,2020-03,2020,10,Q1,Aseguramiento de Calidad,11,7,66.27,Riesgo Alto
2020-03-08,2020-03,2020,10,Q1,Gestión de Riesgos,10,7,75.91,Aceptable
2020-03-08,2020-03,2020,10,Q1,Gestión de Proveedores,11,8,73.96,Aceptable
2020-03-08,2020-03,2020,10,Q1,Medición y Análisis,9,6,68.38,Riesgo Alto
2020-03-08,2020-03,2020,10,Q1,Mejora de Procesos,11,8,75.41,Aceptable
2020-03-08,2020-03,2020,10,Q1,Gestión de Recursos Humanos,5,3,75.66,Aceptable
2020-03-15,2020-03,2020,11,Q1,Gestión de Proyectos,9,6,73.92,Aceptable
2020-03-15,2020-03,2020,11,Q1,Gestión de Requisitos,8,5,70.2,Aceptable
2020-03-15,2020-03,2020,11,Q1,Desarrollo de Software,12,7,66.18,Riesgo Alto
2020-03-15,2020-03,2020,11,Q1,Gestión de Configuración,7,4,66.96,Riesgo Alto
2020-03-15,2020-03,2020,11,Q1,Aseguramiento de Calidad,7,4,68.04,Riesgo Alto
2020-03-15,2020-03,2020,11,Q1,Gestión de Riesgos,5,3,71.27,Aceptable
2020-03-15,2020-03,2020,11,Q1,Gestión de Proveedores,14,10,73.23,Aceptable
2020-03-15,2020-03,2020,11,Q1,Medición y Análisis,11,7,67.4,Riesgo Alto
2020-03-15,2020-03,2020,11,Q1,Mejora de Procesos,6,4,73.67,Aceptable
2020-03-15,2020-03,2020,11,Q1,Gestión de Recursos Humanos,8,5,73.93,Aceptable
2020-03-22,2020-03,2020,12,Q1,Gestión de Proyectos,9,6,67.4,Riesgo Alto
2020-03-22,2020-03,2020,12,Q1,Gestión de Requisitos,14,9,71.01,Aceptable
2020-03-22,2020-03,2020,12,Q1,Desarrollo de Software,8,5,73.59,Aceptable
2020-03-22,2020-03,2020,12,Q1,Gestión de Configuración,6,4,67.03,Riesgo Alto
2020-03-22,2020-03,2020,12,Q1,Aseguramiento de Calidad,9,6,73.16,Aceptable
2020-03-22,2020-03,2020,12,Q1,Gestión de Riesgos,11,7,71.18,Aceptable
2020-03-22,2020-03,2020,12,Q1,Gestión de Proveedores,7,5,73.21,Aceptable
2020-03-22,2020-03,2020,12,Q1,Medición y Análisis,5,3,74.02,Aceptable
2020-03-22,2020-03,2020,12,Q1,Mejora de Procesos,9,6,66.94,Riesgo Alto
2020-03-22,2020-03,2020,12,Q1,Gestión de Recursos Humanos,7,5,75.51,Aceptable
2020-03-29,2020-03,2020,13,Q1,Gestión de Proyectos,5,3,67.38,Riesgo Alto
2020-03-29,2020-03,2020,13,Q1,Gestión de Requisitos,8,5,68.55,Riesgo Alto
2020-03-29,2020-03,2020,13,Q1,Desarrollo de Software,10,6,66.77,Riesgo Alto
2020-03-29,2020-03,2020,13,Q1,Gestión de Configuración,11,7,71.9,Aceptable
2020-03-29,2020-03,2020,13,Q1,Aseguramiento de Calidad,13,9,73.56,Aceptable
2020-03-29,2020-03,2020,13,Q1,Gestión de Riesgos,7,5,75.41,Aceptable
2020-03-29,2020-03,2020,13,Q1,Gestión de Proveedores,6,4,70.59,Aceptable
2020-03-29,2020-03,2020,13,Q1,Medición y Análisis,8,5,69.76,Riesgo Alto
2020-03-29,2020-03,2020,13,Q1,Mejora de Procesos,14,9,70.5,Aceptable
2020-03-29,2020-03,2020,13,Q1,Gestión de Recursos Humanos,11,7,66.28,Riesgo Alto
2020-04-05,2020-04,2020,14,Q2,Gestión de Proyectos,10,7,74.22,Aceptable
2020-04-05,2020-04,2020,14,Q2,Gestión de Requisitos,14,9,66.61,Riesgo Alto
2020-04-05,2020-04,2020,14,Q2,Desarrollo de Software,11,7,68.75,Riesgo Alto
2020-04-05,2020-04,2020,14,Q2,Gestión de Configuración,9,6,72.45,Aceptable
2020-04-05,2020-04,2020,14,Q2,Aseguramiento de Calidad,14,9,70.03,Aceptable
2020-04-05,2020-04,2020,14,Q2,Gestión de Riesgos,9,6,74.82,Aceptable
2020-04-05,2020-04,2020,14,Q2,Gestión de Proveedores,14,10,75.54,Aceptable
2020-04-05,2020-04,2020,14,Q2,Medición y Análisis,6,4,67.43,Riesgo Alto
2020-04-05,2020-04,2020,14,Q2,Mejora de Procesos,5,3,70.9,Aceptable
2020-04-05,2020-04,2020,14,Q2,Gestión de Recursos Humanos,9,6,68.39,Riesgo Alto
2020-04-12,2020-04,2020,15,Q2,Gestión de Proyectos,5,3,69.57,Riesgo Alto
2020-04-12,2020-04,2020,15,Q2,Gestión de Requisitos,10,7,76.21,Aceptable
2020-04-12,2020-04,2020,15,Q2,Desarrollo de Software,9,6,74.78,Aceptable
2020-04-12,2020-04,2020,15,Q2,Gestión de Configuración,8,5,72.55,Aceptable
2020-04-12,2020-04,2020,15,Q2,Aseguramiento de Calidad,5,3,70.46,Aceptable
2020-04-12,2020-04,2020,15,Q2,Gestión de Riesgos,6,4,68.49,Riesgo Alto
2020-04-12,2020-04,2020,15,Q2,Gestión de Proveedores,14,9,68.24,Riesgo Alto
2020-04-12,2020-04,2020,15,Q2,Medición y Análisis,5,3,68.81,Riesgo Alto
2020-04-12,2020-04,2020,15,Q2,Mejora de Procesos,5,3,68.65,Riesgo Alto
2020-04-12,2020-04,2020,15,Q2,Gestión de Recursos Humanos,7,5,72.66,Aceptable
2020-04-19,2020-04,2020,16,Q2,Gestión de Proyectos,6,4,75.26,Aceptable
2020-04-19,2020-04,2020,16,Q2,Gestión de Requisitos,8,6,76.12,Aceptable
2020-04-19,2020-04,2020,16,Q2,Desarrollo de Software,13,9,74.45,Aceptable
2020-04-19,2020-04,2020,16,Q2,Gestión de Configuración,12,8,71.35,Aceptable
2020-04-19,2020-04,2020,16,Q2,Aseguramiento de Calidad,5,3,76.05,Aceptable
2020-04-19,2020-04,2020,16,Q2,Gestión de Riesgos,13,9,74.33,Aceptable
2020-04-19,2020-04,2020,16,Q2,Gestión de Proveedores,14,10,73.88,Aceptable
2020-04-19,2020-04,2020,16,Q2,Medición y Análisis,8,5,68.37,Riesgo Alto
2020-04-19,2020-04,2020,16,Q2,Mejora de Procesos,10,7,72.66,Aceptable
2020-04-19,2020-04,2020,16,Q2,Gestión de Recursos Humanos,8,5,72.07,Aceptable
2020-04-26,2020-04,2020,17,Q2,Gestión de Proyectos,6,4,75.92,Aceptable
2020-04-26,2020-04,2020,17,Q2,Gestión de Requisitos,14,10,71.61,Aceptable
2020-04-26,2020-04,2020,17,Q2,Desarrollo de Software,13,9,73.63,Aceptable
2020-04-26,2020-04,2020,17,Q2,Gestión de Configuración,10,7,73.17,Aceptable
2020-04-26,2020-04,2020,17,Q2,Aseguramiento de Calidad,9,6,67.26,Riesgo Alto
2020-04-26,2020-04,2020,17,Q2,Gestión de Riesgos,12,8,74.37,Aceptable
2020-04-26,2020-04,2020,17,Q2,Gestión de Proveedores,7,4,70.85,Aceptable
2020-04-26,2020-04,2020,17,Q2,Medición y Análisis,6,4,67.21,Riesgo Alto
2020-04-26,2020-04,2020,17,Q2,Mejora de Procesos,11,7,68.87,Riesgo Alto
2020-04-26,2020-04,2020,17,Q2,Gestión de Recursos Humanos,11,7,71.9,Aceptable
2020-05-03,2020-05,2020,18,Q2,Gestión de Proyectos,12,8,74.06,Aceptable
2020-05-03,2020-05,2020,18,Q2,Gestión de Requisitos,13,9,71.99,Aceptable
2020-05-03,2020-05,2020,18,Q2,Desarrollo de Software,10,7,73.35,Aceptable
2020-05-03,2020-05,2020,18,Q2,Gestión de Configuración,10,6,68.33,Riesgo Alto
2020-05-03,2020-05,2020,18,Q2,Aseguramiento de Calidad,10,7,74.33,Aceptable
2020-05-03,2020-05,2020,18,Q2,Gestión de Riesgos,12,8,68.94,Riesgo Alto
2020-05-03,2020-05,2020,18,Q2,Gestión de Proveedores,10,7,74.48,Aceptable
2020-05-03,2020-05,2020,18,Q2,Medición y Análisis,11,7,68.77,Riesgo Alto
2020-05-03,2020-05,2020,18,Q2,Mejora de Procesos,13,9,76.26,Aceptable
2020-05-03,2020-05,2020,18,Q2,Gestión de Recursos Humanos,10,7,72.89,Aceptable
2020-05-10,2020-05,2020,19,Q2,Gestión de Proyectos,12,9,75.09,Aceptable
2020-05-10,2020-05,2020,19,Q2,Gestión de Requisitos,7,5,73.4,Aceptable
2020-05-10,2020-05,2020,19,Q2,Desarrollo de Software,13,8,68.16,Riesgo Alto
2020-05-10,2020-05,2020,19,Q2,Gestión de Configuración,14,9,68.56,Riesgo Alto
2020-05-10,2020-05,2020,19,Q2,Aseguramiento de Calidad,12,8,68.23,Riesgo Alto
2020-05-10,2020-05,2020,19,Q2,Gestión de Riesgos,11,7,72.54,Aceptable
2020-05-10,2020-05,2020,19,Q2,Gestión de Proveedores,11,7,68.27,Riesgo Alto
2020-05-10,2020-05,2020,19,Q2,Medición y Análisis,10,6,69.94,Riesgo Alto
2020-05-10,2020-05,2020,19,Q2,Mejora de Procesos,12,9,75.26,Aceptable
2020-05-10,2020-05,2020,19,Q2,Gestión de Recursos Humanos,13,9,70.47,Aceptable
2020-05-17,2020-05,2020,20,Q2,Gestión de Proyectos,13,9,76.16,Aceptable
2020-05-17,2020-05,2020,20,Q2,Gestión de Requisitos,13,9,73.76,Aceptable
2020-05-17,2020-05,2020,20,Q2,Desarrollo de Software,8,6,76.91,Aceptable
2020-05-17,2020-05,2020,20,Q2,Gestión de Configuración,7,5,75.81,Aceptable
2020-05-17,2020-05,2020,20,Q2,Aseguramiento de Calidad,8,5,74.23,Aceptable
2020-05-17,2020-05,2020,20,Q2,Gestión de Riesgos,7,4,67.86,Riesgo Alto
2020-05-17,2020-05,2020,20,Q2,Gestión de Proveedores,13,9,71.67,Aceptable
2020-05-17,2020-05,2020,20,Q2,Medición y Análisis,5,3,69.97,Riesgo Alto
2020-05-17,2020-05,2020,20,Q2,Mejora de Procesos,11,7,68.3,Riesgo Alto
2020-05-17,2020-05,2020,20,Q2,Gestión de Recursos Humanos,8,5,70.78,Aceptable
2020-05-24,2020-05,2020,21,Q2,Gestión de Proyectos,13,9,76.05,Aceptable
2020-05-24,2020-05,2020,21,Q2,Gestión de Requisitos,12,8,71.14,Aceptable
2020-05-24,2020-05,2020,21,Q2,Desarrollo de Software,10,7,75.06,Aceptable
2020-05-24,2020-05,2020,21,Q2,Gestión de Configuración,5,3,67.24,Riesgo Alto
2020-05-24,2020-05,2020,21,Q2,Aseguramiento de Calidad,8,5,71.27,Aceptable
2020-05-24,2020-05,2020,21,Q2,Gestión de Riesgos,11,7,72.61,Aceptable
2020-05-24,2020-05,2020,21,Q2,Gestión de Proveedores,9,6,73.29,Aceptable
2020-05-24,2020-05,2020,21,Q2,Medición y Análisis,7,4,67.35,Riesgo Alto
2020-05-24,2020-05,2020,21,Q2,Mejora de Procesos,5,3,72.07,Aceptable
2020-05-24,2020-05,2020,21,Q2,Gestión de Recursos Humanos,12,8,72.49,Aceptable
2020-05-31,2020-05,2020,22,Q2,Gestión de Proyectos,8,5,73.31,Aceptable
2020-05-31,2020-05,2020,22,Q2,Gestión de Requisitos,9,6,69.93,Riesgo Alto
2020-05-31,2020-05,2020,22,Q2,Desarrollo de Software,11,7,71.95,Aceptable
2020-05-31,2020-05,2020,22,Q2,Gestión de Configuración,11,8,77.15,Aceptable
2020-05-31,2020-05,2020,22,Q2,Aseguramiento de Calidad,8,6,75.27,Aceptable
2020-05-31,2020-05,2020,22,Q2,Gestión de Riesgos,11,7,70.9,Aceptable
2020-05-31,2020-05,2020,22,Q2,Gestión de Proveedores,13,9,74.79,Aceptable
2020-05-31,2020-05,2020,22,Q2,Medición y Análisis,14,10,72.6,Aceptable
2020-05-31,2020-05,2020,22,Q2,Mejora de Procesos,13,9,72.1,Aceptable
2020-05-31,2020-05,2020,22,Q2,Gestión de Recursos Humanos,8,5,73.87,Aceptable
2020-06-07,2020-06,2020,23,Q2,Gestión de Proyectos,5,3,76.59,Aceptable
2020-06-07,2020-06,2020,23,Q2,Gestión de Requisitos,7,4,70.94,Aceptable
2020-06-07,2020-06,2020,23,Q2,Desarrollo de Software,13,9,71.96,Aceptable
2020-06-07,2020-06,2020,23,Q2,Gestión de Configuración,11,8,72.89,Aceptable
2020-06-07,2020-06,2020,23,Q2,Aseguramiento de Calidad,8,6,75.09,Aceptable
2020-06-07,2020-06,2020,23,Q2,Gestión de Riesgos,14,10,72.28,Aceptable
2020-06-07,2020-06,2020,23,Q2,Gestión de Proveedores,8,5,68.5,Riesgo Alto
2020-06-07,2020-06,2020,23,Q2,Medición y Análisis,14,9,69.79,Riesgo Alto
2020-06-07,2020-06,2020,23,Q2,Mejora de Procesos,7,5,73.75,Aceptable
2020-06-07,2020-06,2020,23,Q2,Gestión de Recursos Humanos,6,4,73.7,Aceptable
2020-06-14,2020-06,2020,24,Q2,Gestión de Proyectos,6,4,71.21,Aceptable
2020-06-14,2020-06,2020,24,Q2,Gestión de Requisitos,10,6,68.72,Riesgo Alto
2020-06-14,2020-06,2020,24,Q2,Desarrollo de Software,6,4,68.16,Riesgo Alto
2020-06-14,2020-06,2020,24,Q2,Gestión de Configuración,9,6,74.8,Aceptable
2020-06-14,2020-06,2020,24,Q2,Aseguramiento de Calidad,9,6,75.74,Aceptable
2020-06-14,2020-06,2020,24,Q2,Gestión de Riesgos,8,5,71.97,Aceptable
2020-06-14,2020-06,2020,24,Q2,Gestión de Proveedores,14,10,75.52,Aceptable
2020-06-14,2020-06,2020,24,Q2,Medición y Análisis,11,8,76.34,Aceptable
2020-06-14,2020-06,2020,24,Q2,Mejora de Procesos,11,7,70.05,Aceptable
2020-06-14,2020-06,2020,24,Q2,Gestión de Recursos Humanos,12,8,70.15,Aceptable
2020-06-21,2020-06,2020,25,Q2,Gestión de Proyectos,9,6,69.84,Riesgo Alto
2020-06-21,2020-06,2020,25,Q2,Gestión de Requisitos,6,4,70.79,Aceptable
2020-06-21,2020-06,2020,25,Q2,Desarrollo de Software,12,9,76.09,Aceptable
2020-06-21,2020-06,2020,25,Q2,Gestión de Configuración,10,7,76.29,Aceptable
2020-06-21,2020-06,2020,25,Q2,Aseguramiento de Calidad,5,3,72.58,Aceptable
2020-06-21,2020-06,2020,25,Q2,Gestión de Riesgos,13,8,68.03,Riesgo Alto
2020-06-21,2020-06,2020,25,Q2,Gestión de Proveedores,9,6,75.7,Aceptable
2020-06-21,2020-06,2020,25,Q2,Medición y Análisis,12,9,76.81,Aceptable
2020-06-21,2020-06,2020,25,Q2,Mejora de Procesos,7,4,68.26,Riesgo Alto
2020-06-21,2020-06,2020,25,Q2,Gestión de Recursos Humanos,11,8,75.65,Aceptable
2020-06-28,2020-06,2020,26,Q2,Gestión de Proyectos,13,9,76.68,Aceptable
2020-06-28,2020-06,2020,26,Q2,Gestión de Requisitos,13,9,69.94,Riesgo Alto
2020-06-28,2020-06,2020,26,Q2,Desarrollo de Software,10,7,71.72,Aceptable
2020-06-28,2020-06,2020,26,Q2,Gestión de Configuración,14,9,69.26,Riesgo Alto
2020-06-28,2020-06,2020,26,Q2,Aseguramiento de Calidad,14,10,76.4,Aceptable
2020-06-28,2020-06,2020,26,Q2,Gestión de Riesgos,7,5,77.35,Aceptable
2020-06-28,2020-06,2020,26,Q2,Gestión de Proveedores,9,6,72.4,Aceptable
2020-06-28,2020-06,2020,26,Q2,Medición y Análisis,8,5,72.27,Aceptable
2020-06-28,2020-06,2020,26,Q2,Mejora de Procesos,12,8,68.27,Riesgo Alto
2020-06-28,2020-06,2020,26,Q2,Gestión de Recursos Humanos,10,7,70.6,Aceptable
2020-07-05,2020-07,2020,27,Q3,Gestión de Proyectos,12,8,73.55,Aceptable
2020-07-05,2020-07,2020,27,Q3,Gestión de Requisitos,9,6,68.56,Riesgo Alto
2020-07-05,2020-07,2020,27,Q3,Desarrollo de Software,10,7,76.8,Aceptable
2020-07-05,2020-07,2020,27,Q3,Gestión de Configuración,8,6,76.22,Aceptable
2020-07-05,2020-07,2020,27,Q3,Aseguramiento de Calidad,14,10,77.46,Aceptable
2020-07-05,2020-07,2020,27,Q3,Gestión de Riesgos,9,6,75.72,Aceptable
2020-07-05,2020-07,2020,27,Q3,Gestión de Proveedores,10,6,69.37,Riesgo Alto
2020-07-05,2020-07,2020,27,Q3,Medición y Análisis,7,4,71.0,Aceptable
2020-07-05,2020-07,2020,27,Q3,Mejora de Procesos,14,10,73.89,Aceptable
2020-07-05,2020-07,2020,27,Q3,Gestión de Recursos Humanos,9,6,73.65,Aceptable
2020-07-12,2020-07,2020,28,Q3,Gestión de Proyectos,11,8,75.68,Aceptable
2020-07-12,2020-07,2020,28,Q3,Gestión de Requisitos,8,6,75.11,Aceptable
2020-07-12,2020-07,2020,28,Q3,Desarrollo de Software,12,9,77.73,Aceptable
2020-07-12,2020-07,2020,28,Q3,Gestión de Configuración,5,3,71.71,Aceptable
2020-07-12,2020-07,2020,28,Q3,Aseguramiento de Calidad,8,6,76.17,Aceptable
2020-07-12,2020-07,2020,28,Q3,Gestión de Riesgos,13,9,74.47,Aceptable
2020-07-12,2020-07,2020,28,Q3,Gestión de Proveedores,14,10,76.95,Aceptable
2020-07-12,2020-07,2020,28,Q3,Medición y Análisis,9,6,75.06,Aceptable
2020-07-12,2020-07,2020,28,Q3,Mejora de Procesos,14,9,70.22,Aceptable
2020-07-12,2020-07,2020,28,Q3,Gestión de Recursos Humanos,13,9,74.52,Aceptable
2020-07-19,2020-07,2020,29,Q3,Gestión de Proyectos,9,6,73.77,Aceptable
2020-07-19,2020-07,2020,29,Q3,Gestión de Requisitos,10,7,77.21,Aceptable
2020-07-19,2020-07,2020,29,Q3,Desarrollo de Software,8,5,71.02,Aceptable
2020-07-19,2020-07,2020,29,Q3,Gestión de Configuración,6,4,75.48,Aceptable
2020-07-19,2020-07,2020,29,Q3,Aseguramiento de Calidad,9,6,72.63,Aceptable
2020-07-19,2020-07,2020,29,Q3,Gestión de Riesgos,6,4,77.01,Aceptable
2020-07-19,2020-07,2020,29,Q3,Gestión de Proveedores,9,6,77.64,Aceptable
2020-07-19,2020-07,2020,29,Q3,Medición y Análisis,6,4,69.71,Riesgo Alto
2020-07-19,2020-07,2020,29,Q3,Mejora de Procesos,9,6,69.24,Riesgo Alto
2020-07-19,2020-07,2020,29,Q3,Gestión de Recursos Humanos,10,6,68.38,Riesgo Alto
2020-07-26,2020-07,2020,30,Q3,Gestión de Proyectos,6,4,72.64,Aceptable
2020-07-26,2020-07,2020,30,Q3,Gestión de Requisitos,13,9,71.37,Aceptable
2020-07-26,2020-07,2020,30,Q3,Desarrollo de Software,8,5,71.3,Aceptable
2020-07-26,2020-07,2020,30,Q3,Gestión de Configuración,10,7,76.24,Aceptable
2020-07-26,2020-07,2020,30,Q3,Aseguramiento de Calidad,8,6,77.22,Aceptable
