proyecto,tipo_proyecto,fecha_inicio,año,registros_totales_disponibles,registros_analizados,cobertura_porcentaje,estado
Proyecto_0035,Análisis Predictivo,2020-02-16,2020,284093,221812,78.07748872773553,Aceptable
Proyecto_0036,Análisis Predictivo,2020-02-28,2020,258517,243878,94.33742403080335,Alta representatividad
Proyecto_0037,Visión,2020-02-25,2020,249314,228559,91.67547569479889,Alta representatividad
Proyecto_0038,Análisis Predictivo,2020-02-24,2020,434665,368136,84.69431536531836,Aceptable
Proyecto_0039,Regresión,2020-02-26,2020,443352,375344,84.66067744470001,Aceptable
Proyecto_0040,Optimización,2020-02-26,2020,99320,70973,71.4598095734337,Aceptable
Proyecto_0041,NLP,2020-03-03,2020,123267,107103,86.8872096450333,Aceptable
Proyecto_0042,Detección de Anomalías,2020-03-03,2020,210175,165052,78.53111629053446,Aceptable
Proyecto_0043,Regresión,2020-03-02,2020,228924,196691,85.91978341538207,Aceptable
Proyecto_0044,NLP,2020-03-02,2020,388956,357240,91.84607744205215,Alta representatividad
Proyecto_0045,Detección de Anomalías,2020-03-02,2020,441321,314145,71.1829559523596,Aceptable
Proyecto_0046,Regresión,2020-03-08,2020,360187,308981,85.7836510886842,Aceptable
Proyecto_0047,Visión,2020-03-08,2020,258181,218599,84.66921597873583,Aceptable
Proyecto_0048,Regresión,2020-03-10,2020,386884,291617,75.37593043596527,Aceptable
Proyecto_0049,Detección de Anomalías,2020-03-11,2020,425315,369204,86.80725667308164,Aceptable
Proyecto_0050,Optimización,2020-03-08,2020,161809,136608,84.42571608257757,Aceptable
Proyecto_0051,NLP,2020-03-17,2020,200595,180435,89.95032322458026,Aceptable
Proyecto_0052,Clasificación,2020-03-20,2020,339414,247351,72.87608277188308,Aceptable
Proyecto_0053,Regresión,2020-03-20,2020,444018,362024,81.53379119630453,Aceptable
Proyecto_0054,NLP,2020-03-15,2020,144538,138678,95.94625627797248,Alta representatividad
Proyecto_0055,NLP,2020-03-16,2020,317794,279408,87.92130205331623,Aceptable
Proyecto_0056,Optimización,2020-03-27,2020,109231,95895,87.7917537885487,Aceptable
Proyecto_0057,Clasificación,2020-03-24,2020,243720,190746,78.26464860916091,Aceptable
Proyecto_0058,NLP,2020-03-27,2020,300736,217856,72.44109070975075,Aceptable
Proyecto_0059,Detección de Anomalías,2020-03-23,2020,163668,154972,94.68685375613653,Alta representatividad
Proyecto_0060,Regresión,2020-03-26,2020,295592,215020,72.74225647718343,Aceptable
Proyecto_0061,Clasificación,2020-04-03,2020,481693,461511,95.81036407571261,Alta representatividad
Proyecto_0062,Optimización,2020-04-01,2020,52406,38398,73.27030528297033,Aceptable
Proyecto_0063,NLP,2020-03-30,2020,274843,204602,74.44359106167411,Aceptable
Proyecto_0064,Visión,2020-04-01,2020,26251,20480,78.01754083130083,Aceptable
Proyecto_0065,Clasificación,2020-03-31,2020,252608,210477,83.32175503072799,Aceptable
Proyecto_0066,Visión,2020-04-09,2020,258181,233784,90.55044295487991,Alta representatividad
Proyecto_0067,Visión,2020-04-08,2020,309892,295160,95.2462158503058,Alta representatividad
Proyecto_0068,Detección de Anomalías,2020-04-10,2020,287777,228291,79.32944690489325,Aceptable
Proyecto_0069,Clasificación,2020-04-05,2020,81936,57790,70.53074042385413,Aceptable
Proyecto_0070,Análisis Predictivo,2020-04-10,2020,104058,89524,86.03366759789088,Aceptable
Proyecto_0071,Regresión,2020-04-17,2020,160019,141585,88.48053639246801,Aceptable
Proyecto_0072,Optimización,2020-04-14,2020,242715,194981,80.33354960392732,Aceptable
Proyecto_0073,Clustering,2020-04-16,2020,122537,91621,74.770377273387,Aceptable
Proyecto_0074,Visión,2020-04-12,2020,489135,381312,77.95640546318896,Aceptable
Proyecto_0075,Optimización,2020-04-12,2020,412788,359335,87.05079244231774,Aceptable
Proyecto_0076,Visión,2020-04-24,2020,211550,175266,82.84875461396717,Aceptable
Proyecto_0077,Regresión,2020-04-23,2020,208963,186664,89.3290247449586,Aceptable
Proyecto_0078,Regresión,2020-04-20,2020,415346,314302,75.67242635760617,Aceptable
Proyecto_0079,Análisis Predictivo,2020-04-23,2020,264553,243102,91.89162607589661,Alta representatividad
Proyecto_0080,Análisis Predictivo,2020-04-23,2020,72990,54051,74.05300787311482,Aceptable
Proyecto_0081,Optimización,2020-04-30,2020,183703,144349,78.57780115172353,Aceptable
Proyecto_0082,Clustering,2020-04-29,2020,94699,80845,85.37139837623575,Aceptable
Proyecto_0083,Clasificación,2020-04-27,2020,163373,145660,89.1584429829642,Aceptable
Proyecto_0084,Clustering,2020-04-28,2020,323834,249095,76.92071825130459,Aceptable
Proyecto_0085,Regresión,2020-04-26,2020,412046,390006,94.65111312252786,Alta representatividad
Proyecto_0086,Análisis Predictivo,2020-05-08,2020,29069,25685,88.35889336312005,Aceptable
Proyecto_0087,Visión,2020-05-06,2020,14075,10649,75.65955082573171,Aceptable
Proyecto_0088,Análisis Predictivo,2020-05-04,2020,227794,202440,88.86990392634281,Aceptable
Proyecto_0089,Análisis Predictivo,2020-05-07,2020,90069,79355,88.10467606266516,Aceptable
Proyecto_0090,Visión,2020-05-08,2020,224366,200964,89.56978586710052,Aceptable
Proyecto_0091,Clasificación,2020-05-15,2020,138217,129665,93.81289884288732,Alta representatividad
Proyecto_0092,NLP,2020-05-13,2020,492311,435718,88.50464681985918,Aceptable
Proyecto_0093,Optimización,2020-05-13,2020,486862,385349,79.14966761498678,Aceptable
Proyecto_0094,Clustering,2020-05-10,2020,90988,82392,90.55345442141432,Alta representatividad
Proyecto_0095,Visión,2020-05-12,2020,182688,160934,88.0924057028596,Aceptable
Proyecto_0096,NLP,2020-05-18,2020,155423,132001,84.93073883232302,Aceptable
Proyecto_0097,Optimización,2020-05-22,2020,73477,58193,79.19965522658586,Aceptable
Proyecto_0098,Análisis Predictivo,2020-05-22,2020,34176,32107,93.94727858661525,Alta representatividad
Proyecto_0099,Clasificación,2020-05-18,2020,280124,233431,83.33162331156356,Aceptable
Proyecto_0100,Clasificación,2020-05-18,2020,441299,380976,86.33068780296811,Aceptable
Proyecto_0101,Optimización,2020-05-28,2020,246425,199110,80.79944028870914,Aceptable
Proyecto_0102,Regresión,2020-05-28,2020,180447,162945,90.30119802918443,Alta representatividad
Proyecto_0103,Análisis Predictivo,2020-05-27,2020,488098,384948,78.86702716606474,Aceptable
Proyecto_0104,Clasificación,2020-05-29,2020,263862,240316,91.07649417923272,Alta representatividad
Proyecto_0105,Visión,2020-05-26,2020,80449,58572,72.80647714546109,Aceptable
Proyecto_0106,Regresión,2020-05-31,2020,465884,411995,88.4330092472393,Aceptable
Proyecto_0107,Visión,2020-06-05,2020,62027,51109,82.39893588000791,Aceptable
Proyecto_0108,Detección de Anomalías,2020-05-31,2020,190803,168226,88.16759263596961,Aceptable
Proyecto_0109,Clustering,2020-06-02,2020,189326,158686,83.81628671921337,Aceptable
Proyecto_0110,Análisis Predictivo,2020-06-01,2020,79108,58138,73.49196452029365,Aceptable
Proyecto_0111,Clustering,2020-06-09,2020,36065,29718,82.40178010631105,Aceptable
Proyecto_0112,Detección de Anomalías,2020-06-07,2020,160351,152459,95.0785332372819,Alta representatividad
Proyecto_0113,Visión,2020-06-11,2020,235112,210721,89.62585563215649,Aceptable
Proyecto_0114,Optimización,2020-06-09,2020,479489,373066,77.80492133255763,Aceptable
Proyecto_0115,Optimización,2020-06-10,2020,206031,194796,94.54696784557798,Alta representatividad
Proyecto_0116,Visión,2020-06-18,2020,495717,447397,90.25260320691679,Alta representatividad
Proyecto_0117,Clustering,2020-06-17,2020,198923,158095,79.47562514803212,Aceptable
Proyecto_0118,Optimización,2020-06-17,2020,425383,364523,85.69292311018081,Aceptable
Proyecto_0119,NLP,2020-06-16,2020,461867,374545,81.09382570494613,Aceptable
Proyecto_0120,Clustering,2020-06-17,2020,16294,11815,72.51395024119105,Aceptable
Proyecto_0121,Clasificación,2020-06-26,2020,256781,233559,90.95676456540743,Alta representatividad
Proyecto_0122,Clasificación,2020-06-22,2020,315726,236693,74.96803125331556,Aceptable
Proyecto_0123,Visión,2020-06-23,2020,111237,91113,81.90899570013516,Aceptable
Proyecto_0124,Regresión,2020-06-21,2020,438926,387433,88.26859114310302,Aceptable
Proyecto_0125,Detección de Anomalías,2020-06-22,2020,22983,21658,94.23755590949852,Alta representatividad
Proyecto_0126,Optimización,2020-07-02,2020,81892,58659,71.63087835162362,Aceptable
Proyecto_0127,Optimización,2020-06-30,2020,452361,362902,80.22407247638498,Aceptable
Proyecto_0128,Visión,2020-06-28,2020,426328,366560,85.98084084704524,Aceptable
Proyecto_0129,Clasificación,2020-06-28,2020,390225,352225,90.26204194175057,Alta representatividad
Proyecto_0130,Clasificación,2020-06-30,2020,24245,22776,93.94421057861302,Alta representatividad
Proyecto_0131,Clasificación,2020-07-06,2020,102955,72081,70.0129301913812,Aceptable
Proyecto_0132,Análisis Predictivo,2020-07-10,2020,311243,268670,86.3218479501682,Aceptable
Proyecto_0133,Detección de Anomalías,2020-07-05,2020,308555,216545,70.18036005506124,Aceptable
Proyecto_0134,Detección de Anomalías,2020-07-07,2020,449258,406437,90.4686374760607,Alta representatividad
Proyecto_0135,Análisis Predictivo,2020-07-07,2020,266182,196685,73.89133152237365,Aceptable
Proyecto_0136,Optimización,2020-07-17,2020,215183,200679,93.26013662295767,Alta representatividad
Proyecto_0137,Clustering,2020-07-15,2020,317224,234851,74.033230129397,Aceptable
Proyecto_0138,NLP,2020-07-14,2020,400036,359522,89.87255352972707,Aceptable
Proyecto_0139,NLP,2020-07-12,2020,189736,147086,77.52190212316273,Aceptable
Proyecto_0140,Clustering,2020-07-15,2020,339017,286430,84.4886009275866,Aceptable
Proyecto_0141,Regresión,2020-07-19,2020,462645,397038,85.81929011272044,Aceptable
Proyecto_0142,Regresión,2020-07-20,2020,161853,121997,75.37577686482555,Aceptable
Proyecto_0143,Optimización,2020-07-20,2020,235226,182926,77.76611897167743,Aceptable
Proyecto_0144,Regresión,2020-07-19,2020,243435,177209,72.79520234336697,Aceptable
Proyecto_0145,Clasificación,2020-07-23,2020,52352,36718,70.13751413980414,Aceptable
Proyecto_0146,Detección de Anomalías,2020-07-30,2020,143219,109170,76.22616900141763,Aceptable
Proyecto_0147,Clustering,2020-07-30,2020,208019,173521,83.41606125181497,Aceptable
Proyecto_0148,Visión,2020-07-26,2020,119202,105557,88.55352874504952,Aceptable
Proyecto_0149,Clasificación,2020-07-28,2020,98509,89281,90.63255025239022,Alta representatividad
Proyecto_0150,Regresión,2020-07-29,2020,314919,226155,71.8139149791527,Aceptable
Proyecto_0151,Regresión,2020-08-04,2020,434405,334851,77.08273505027117,Aceptable
Proyecto_0152,Detección de Anomalías,2020-08-07,2020,440134,396234,90.02582344728327,Alta representatividad
Proyecto_0153,NLP,2020-08-02,2020,433832,357922,82.50259074786564,Aceptable
Proyecto_0154,Clustering,2020-08-07,2020,250199,186990,74.73686167049034,Aceptable
Proyecto_0155,NLP,2020-08-07,2020,410114,328901,80.19756420530877,Aceptable
Proyecto_0156,Clasificación,2020-08-11,2020,126862,97710,77.02088896339885,Aceptable
Proyecto_0157,Detección de Anomalías,2020-08-14,2020,46819,33389,71.31699113660974,Aceptable
Proyecto_0158,Visión,2020-08-10,2020,78928,70920,89.85430578554977,Aceptable
Proyecto_0159,Visión,2020-08-12,2020,255501,198227,77.58403518392413,Aceptable
Proyecto_0160,Clustering,2020-08-09,2020,107347,101521,94.57341452625954,Alta representatividad
Proyecto_0161,Regresión,2020-08-19,2020,275611,256569,93.09125105159649,Alta representatividad
Proyecto_0162,NLP,2020-08-20,2020,169896,150567,88.6232144860764,Aceptable
Proyecto_0163,Clustering,2020-08-20,2020,314276,246683,78.49249406788402,Aceptable
Proyecto_0164,Detección de Anomalías,2020-08-17,2020,115874,89545,77.27801236970731,Aceptable
Proyecto_0165,Visión,2020-08-16,2020,346097,285035,82.35705848411843,Aceptable
Proyecto_0166,Detección de Anomalías,2020-08-27,2020,283075,224251,79.21966500851866,Aceptable
Proyecto_0167,Regresión,2020-08-26,2020,109637,102433,93.43011642466195,Alta representatividad
Proyecto_0168,NLP,2020-08-26,2020,448786,328560,73.21087362131209,Aceptable
Proyecto_0169,Detección de Anomalías,2020-08-24,2020,292912,260211,88.8361569659911,Aceptable
Proyecto_0170,Clasificación,2020-08-28,2020,462808,397474,85.8833166524723,Aceptable
Proyecto_0171,NLP,2020-09-03,2020,228630,207970,90.96383097474556,Alta representatividad
Proyecto_0172,Regresión,2020-09-01,2020,47736,40148,84.10467049550536,Aceptable
Proyecto_0173,Detección de Anomalías,2020-09-03,2020,217514,187862,86.3680576180024,Aceptable
Proyecto_0174,Visión,2020-08-31,2020,61968,58888,95.03125643112837,Alta representatividad
Proyecto_0175,Optimización,2020-09-03,2020,452535,327594,72.39100037017819,Aceptable
Proyecto_0176,Clasificación,2020-09-06,2020,363954,264691,72.72650712924364,Aceptable
Proyecto_0177,Clasificación,2020-09-07,2020,124000,99489,80.23379980292533,Aceptable
Proyecto_0178,Clasificación,2020-09-08,2020,183350,150880,82.2910526284258,Aceptable
Proyecto_0179,Clustering,2020-09-09,2020,270475,203388,75.19667309362923,Aceptable
Proyecto_0180,Análisis Predictivo,2020-09-10,2020,209690,151289,72.14936272155458,Aceptable
Proyecto_0181,Visión,2020-09-18,2020,287292,202760,70.57658267066815,Aceptable
Proyecto_0182,Visión,2020-09-16,2020,102106,91772,89.8793985115918,Aceptable
Proyecto_0183,Regresión,2020-09-14,2020,454546,375507,82.61149223525945,Aceptable
Proyecto_0184,Análisis Predictivo,2020-09-16,2020,57308,52682,91.92848917566239,Alta representatividad
Proyecto_0185,Detección de Anomalías,2020-09-18,2020,435395,345624,79.38176811100284,Aceptable
Proyecto_0186,Regresión,2020-09-25,2020,229451,202581,88.28959938072735,Aceptable
Proyecto_0187,Clustering,2020-09-25,2020,440683,364451,82.70153358144216,Aceptable
Proyecto_0188,Clasificación,2020-09-25,2020,406601,349326,85.91381996394296,Aceptable
Proyecto_0189,Clasificación,2020-09-20,2020,442613,352431,79.625117869149,Aceptable
Proyecto_0190,Clustering,2020-09-25,2020,401093,289229,72.11041403163085,Aceptable
Proyecto_0191,NLP,2020-09-28,2020,452478,428187,94.63171313749837,Alta representatividad
Proyecto_0192,Clasificación,2020-09-28,2020,441393,404926,91.73833617588397,Alta representatividad
Proyecto_0193,Clasificación,2020-10-01,2020,428038,334336,78.10918610202931,Aceptable
Proyecto_0194,Detección de Anomalías,2020-09-28,2020,153771,145969,94.92627632414253,Alta representatividad
Proyecto_0195,NLP,2020-09-27,2020,20812,16194,77.81270701679301,Aceptable
Proyecto_0196,NLP,2020-10-08,2020,448721,365787,81.51774052563863,Aceptable
Proyecto_0197,Optimización,2020-10-04,2020,352904,316320,89.63352717791079,Aceptable
Proyecto_0198,Clustering,2020-10-06,2020,310653,242415,78.03411045664188,Aceptable
Proyecto_0199,Regresión,2020-10-08,2020,151249,118635,78.437207444529,Aceptable
Proyecto_0200,NLP,2020-10-05,2020,238751,192581,80.66213612808933,Aceptable
Proyecto_0201,Optimización,2020-10-12,2020,412887,339302,82.17812334966926,Aceptable
Proyecto_0202,Clustering,2020-10-12,2020,20983,15362,73.21402228714912,Aceptable
Proyecto_0203,Regresión,2020-10-13,2020,472972,333231,70.45478310850422,Aceptable
Proyecto_0204,Clustering,2020-10-11,2020,130522,122557,93.89808701423141,Alta representatividad
Proyecto_0205,Clasificación,2020-10-12,2020,201404,159477,79.18290443259781,Aceptable
Proyecto_0206,Clustering,2020-10-23,2020,94227,68450,72.64390364033997,Aceptable
Proyecto_0207,NLP,2020-10-21,2020,59686,53561,89.73845645564114,Aceptable
Proyecto_0208,Análisis Predictivo,2020-10-23,2020,89559,69561,77.67157744594516,Aceptable
Proyecto_0209,NLP,2020-10-19,2020,182111,136079,74.72326592923761,Aceptable
Proyecto_0210,Detección de Anomalías,2020-10-22,2020,96287,91499,95.02788685437731,Alta representatividad
Proyecto_0211,Regresión,2020-10-29,2020,327271,307419,93.93411517780685,Alta representatividad
Proyecto_0212,Clasificación,2020-10-28,2020,56497,41101,72.74939230636174,Aceptable
Proyecto_0213,Análisis Predictivo,2020-10-27,2020,34977,32662,93.38141545536041,Alta representatividad
Proyecto_0214,Visión,2020-10-29,2020,488260,454875,93.16255567608515,Alta representatividad
Proyecto_0215,Clasificación,2020-10-27,2020,383007,331277,86.49373837588038,Aceptable
Proyecto_0216,NLP,2020-11-03,2020,10895,9127,83.77318802314471,Aceptable
Proyecto_0217,Detección de Anomalías,2020-11-04,2020,311283,235496,75.65340146283401,Aceptable
Proyecto_0218,NLP,2020-11-05,2020,474829,347365,73.15599116055259,Aceptable
Proyecto_0219,NLP,2020-11-06,2020,439747,377151,85.76559532496081,Aceptable
Proyecto_0220,Análisis Predictivo,2020-11-02,2020,432258,394957,91.3708886747952,Alta representatividad
Proyecto_0221,Clustering,2020-11-13,2020,489032,429882,87.90474021810641,Aceptable
Proyecto_0222,Regresión,2020-11-13,2020,61911,46248,74.70081101535125,Aceptable
Proyecto_0223,Clustering,2020-11-13,2020,126927,98419,77.54048464654446,Aceptable
Proyecto_0224,Regresión,2020-11-10,2020,396003,333461,84.2068572669275,Aceptable
Proyecto_0225,NLP,2020-11-10,2020,226086,194998,86.24980545613002,Aceptable
Proyecto_0226,Clustering,2020-11-19,2020,249143,179080,71.87856792519123,Aceptable
Proyecto_0227,Regresión,2020-11-19,2020,267933,230329,85.96534259436164,Aceptable
Proyecto_0228,Regresión,2020-11-20,2020,27743,24731,89.14430426645418,Aceptable
Proyecto_0229,Visión,2020-11-18,2020,156661,117049,74.71530406380347,Aceptable
Proyecto_0230,Análisis Predictivo,2020-11-15,2020,470305,359320,76.40168659137963,Aceptable
Proyecto_0231,Detección de Anomalías,2020-11-27,2020,28919,22189,76.73131134464657,Aceptable
Proyecto_0232,Análisis Predictivo,2020-11-27,2020,100098,94527,94.43506656697221,Alta representatividad
Proyecto_0233,Regresión,2020-11-22,2020,221677,178632,80.58241914048773,Aceptable
Proyecto_0234,Detección de Anomalías,2020-11-22,2020,199603,167257,83.79485786599872,Aceptable
Proyecto_0235,Optimización,2020-11-24,2020,416950,370385,88.83217309264262,Aceptable
Proyecto_0236,Optimización,2020-12-02,2020,289911,230937,79.6579668480612,Aceptable
Proyecto_0237,NLP,2020-11-29,2020,54200,39427,72.74444422055323,Aceptable
Proyecto_0238,Clustering,2020-12-04,2020,410896,357530,87.01236863868674,Aceptable
Proyecto_0239,Visión,2020-12-03,2020,320096,279600,87.34910233091686,Aceptable
Proyecto_0240,Análisis Predictivo,2020-12-04,2020,307307,235932,76.77424319003157,Aceptable
Proyecto_0241,Regresión,2020-12-08,2020,457229,324248,70.91595165611876,Aceptable
Proyecto_0242,Clustering,2020-12-08,2020,121814,106342,87.29918201037978,Aceptable
Proyecto_0243,Optimización,2020-12-11,2020,308195,272102,88.28906436365376,Aceptable
Proyecto_0244,Optimización,2020-12-10,2020,205241,145059,70.67768720689187,Aceptable
Proyecto_0245,NLP,2020-12-09,2020,383911,337929,88.02276497986166,Aceptable
Proyecto_0246,Clasificación,2020-12-16,2020,454276,428891,94.41214279571788,Alta representatividad
Proyecto_0247,Clasificación,2020-12-13,2020,37200,27769,74.64841735836673,Aceptable
Proyecto_0248,Clustering,2020-12-17,2020,348449,291144,83.5544176196506,Aceptable
Proyecto_0249,NLP,2020-12-14,2020,177001,155966,88.11618782241756,Aceptable
Proyecto_0250,Clustering,2020-12-16,2020,297757,226241,75.98206445502555,Aceptable
Proyecto_0251,Detección de Anomalías,2020-12-20,2020,26402,23640,89.54027118322621,Aceptable
Proyecto_0252,Detección de Anomalías,2020-12-22,2020,359265,332572,92.5702991705902,Alta representatividad
Proyecto_0253,Regresión,2020-12-23,2020,35196,32091,91.17832498001565,Alta representatividad
Proyecto_0254,Optimización,2020-12-21,2020,50454,38714,76.73137180545314,Aceptable
Proyecto_0255,Análisis Predictivo,2020-12-22,2020,278095,252815,90.90962746171228,Alta representatividad
Proyecto_0256,Análisis Predictivo,2020-12-29,2020,270097,218095,80.74692435446197,Aceptable
Proyecto_0257,Clasificación,2020-12-31,2020,15382,11833,76.92804904537839,Aceptable
Proyecto_0258,NLP,2020-12-31,2020,202027,150241,74.3672581465481,Aceptable
Proyecto_0259,NLP,2021-01-01,2021,448107,419578,93.63351750517386,Alta representatividad
Proyecto_0260,NLP,2020-12-30,2020,36089,29267,81.09933607943232,Aceptable
Proyecto_0261,Detección de Anomalías,2021-01-04,2021,290912,269119,92.50901085895296,Alta representatividad
Proyecto_0262,Regresión,2021-01-07,2021,372781,276410,74.14816971217462,Aceptable
Proyecto_0263,NLP,2021-01-03,2021,112653,101322,89.94183011998108,Aceptable
Proyecto_0264,Clasificación,2021-01-05,2021,258404,188274,72.86034704253713,Aceptable
Proyecto_0265,Clasificación,2021-01-03,2021,398580,280826,70.45668859807851,Aceptable
Proyecto_0266,Regresión,2021-01-12,2021,115672,110896,95.87128200088672,Alta representatividad
Proyecto_0267,Regresión,2021-01-10,2021,498739,358653,71.91197066468176,Aceptable
Proyecto_0268,Clustering,2021-01-12,2021,386691,317086,82.0000517536337,Aceptable
Proyecto_0269,Optimización,2021-01-14,2021,232485,215834,92.8380199561834,Alta representatividad
Proyecto_0270,NLP,2021-01-10,2021,463966,423618,91.30386824970968,Alta representatividad
Proyecto_0271,Regresión,2021-01-20,2021,157021,129150,82.2505685368458,Aceptable
Proyecto_0272,Regresión,2021-01-20,2021,271530,233195,85.88206117350967,Aceptable
Proyecto_0273,Visión,2021-01-18,2021,250849,216664,86.3723599432333,Aceptable
Proyecto_0274,Clasificación,2021-01-18,2021,297357,216640,72.85544955827704,Aceptable
Proyecto_0275,Clasificación,2021-01-22,2021,336665,260603,77.4075064528308,Aceptable
Proyecto_0276,Análisis Predictivo,2021-01-25,2021,306175,238282,77.82556219070851,Aceptable
Proyecto_0277,Clustering,2021-01-24,2021,73253,58478,79.83133191390138,Aceptable
Proyecto_0278,Análisis Predictivo,2021-01-26,2021,338598,261133,77.12185591379529,Aceptable
Proyecto_0279,Análisis Predictivo,2021-01-29,2021,277059,212058,76.53895999799438,Aceptable
Proyecto_0280,Regresión,2021-01-25,2021,400313,317145,79.22442333068011,Aceptable
Proyecto_0281,Optimización,2021-02-04,2021,158136,126287,79.85988920548273,Aceptable
Proyecto_0282,Clasificación,2021-02-03,2021,266815,220570,82.66782547572518,Aceptable
Proyecto_0283,Detección de Anomalías,2021-02-03,2021,285268,212558,74.51192045585553,Aceptable
Proyecto_0284,NLP,2021-02-04,2021,354061,320413,90.49675325149322,Alta representatividad
Proyecto_0285,NLP,2021-02-03,2021,219842,203084,92.37736020963663,Alta representatividad
Proyecto_0286,Optimización,2021-02-07,2021,207080,158317,76.45228697075513,Aceptable
Proyecto_0287,Clustering,2021-02-11,2021,495120,362456,73.20581890506578,Aceptable
Proyecto_0288,NLP,2021-02-07,2021,41191,36569,88.78011151284957,Aceptable
Proyecto_0289,Detección de Anomalías,2021-02-12,2021,345712,325074,94.0303731907963,Alta representatividad
Proyecto_0290,Clustering,2021-02-10,2021,460297,326414,70.91385681849698,Aceptable
Proyecto_0291,NLP,2021-02-18,2021,86471,60854,70.37533545489232,Aceptable
Proyecto_0292,Regresión,2021-02-18,2021,309236,231212,74.76906199599274,Aceptable
Proyecto_0293,Visión,2021-02-19,2021,278102,244186,87.80460461800635,Aceptable
Proyecto_0294,Clustering,2021-02-19,2021,128158,121858,95.08430620360319,Alta representatividad
Proyecto_0295,Visión,2021-02-19,2021,459738,411511,89.50990483414247,Aceptable
Proyecto_0296,NLP,2021-02-25,2021,69051,58623,84.8988476094968,Aceptable
Proyecto_0297,Detección de Anomalías,2021-02-24,2021,103776,91545,88.21428421476423,Aceptable
Proyecto_0298,Clustering,2021-02-24,2021,489280,371843,75.99815609359692,Aceptable
Proyecto_0299,Clustering,2021-02-24,2021,211430,185851,87.90235064969313,Aceptable
Proyecto_0300,Análisis Predictivo,2021-02-22,2021,343488,269148,78.3575687904447,Aceptable
Proyecto_0301,Clustering,2021-03-01,2021,455379,345099,75.78297545364964,Aceptable
Proyecto_0302,Clasificación,2021-03-02,2021,136046,103599,76.15045596131984,Aceptable
Proyecto_0303,Optimización,2021-03-04,2021,315269,275426,87.3624815482598,Aceptable
Proyecto_0304,Análisis Predictivo,2021-03-03,2021,104817,94280,89.94786877720759,Aceptable
Proyecto_0305,Clasificación,2021-03-04,2021,60249,51288,85.12685487452222,Aceptable
Proyecto_0306,NLP,2021-03-12,2021,153396,109923,71.66023679620652,Aceptable
