fecha,servicio,disponibilidad_porcentaje,tiempo_operativo_horas,tiempo_indisponible_horas,estado
2020-01-05,Plataforma de Pagos,98.8832,23.732,0.268,Riesgo Alto
2020-01-05,Sistema Aduanero,99.8276,23.9586,0.0414,Aceptable
2020-01-05,BI y Reportes,99.5229,23.8855,0.1145,Aceptable
2020-01-05,Infraestructura,99.6695,23.9207,0.0793,Aceptable
2020-01-06,Sistema Tributario,99.2397,23.8175,0.1825,Aceptable
2020-01-06,Portal Web,98.5381,23.6491,0.3509,Riesgo Alto
2020-01-06,API de Servicios,99.509,23.8822,0.1178,Aceptable
2020-01-06,Sistema de Facturación,97.7485,23.4596,0.5404,Riesgo Alto
2020-01-06,Plataforma de Pagos,93.7548,22.5012,1.4988,Riesgo Alto
2020-01-06,Sistema Aduanero,99.6401,23.9136,0.0864,Aceptable
2020-01-06,BI y Reportes,98.8028,23.7127,0.2873,Riesgo Alto
2020-01-06,Infraestructura,99.4317,23.8636,0.1364,Aceptable
2020-01-07,Sistema Tributario,95.6625,22.959,1.041,Riesgo Alto
2020-01-07,Portal Web,99.5595,23.8943,0.1057,Aceptable
2020-01-07,API de Servicios,99.4842,23.8762,0.1238,Aceptable
2020-01-07,Sistema de Facturación,98.6569,23.6776,0.3224,Riesgo Alto
2020-01-07,Plataforma de Pagos,99.2586,23.8221,0.1779,Aceptable
2020-01-07,Sistema Aduanero,99.5536,23.8929,0.1071,Aceptable
2020-01-07,BI y Reportes,99.0852,23.7804,0.2196,Aceptable
2020-01-07,Infraestructura,95.4495,22.9079,1.0921,Riesgo Alto
2020-01-08,Sistema Tributario,98.808,23.7139,0.2861,Riesgo Alto
2020-01-08,Portal Web,98.6818,23.6836,0.3164,Riesgo Alto
2020-01-08,API de Servicios,98.5461,23.6511,0.3489,Riesgo Alto
2020-01-08,Sistema de Facturación,99.082,23.7797,0.2203,Aceptable
2020-01-08,Plataforma de Pagos,99.4236,23.8617,0.1383,Aceptable
2020-01-08,Sistema Aduanero,98.599,23.6638,0.3362,Riesgo Alto
2020-01-08,BI y Reportes,98.8566,23.7256,0.2744,Riesgo Alto
2020-01-08,Infraestructura,99.8347,23.9603,0.0397,Aceptable
2020-01-09,Sistema Tributario,99.4598,23.8704,0.1296,Aceptable
2020-01-09,Portal Web,95.5174,22.9242,1.0758,Riesgo Alto
2020-01-09,API de Servicios,99.303,23.8327,0.1673,Aceptable
2020-01-09,Sistema de Facturación,98.7922,23.7101,0.2899,Riesgo Alto
2020-01-09,Plataforma de Pagos,98.5781,23.6587,0.3413,Riesgo Alto
2020-01-09,Sistema Aduanero,99.1388,23.7933,0.2067,Aceptable
2020-01-09,BI y Reportes,99.5809,23.8994,0.1006,Aceptable
2020-01-09,Infraestructura,99.6202,23.9088,0.0912,Aceptable
2020-01-10,Sistema Tributario,99.5738,23.8977,0.1023,Aceptable
2020-01-10,Portal Web,99.0006,23.7602,0.2398,Aceptable
2020-01-10,API de Servicios,94.1011,22.5843,1.4157,Riesgo Alto
2020-01-10,Sistema de Facturación,92.6772,22.2425,1.7575,Riesgo Alto
2020-01-10,Plataforma de Pagos,99.1253,23.7901,0.2099,Aceptable
2020-01-10,Sistema Aduanero,98.9195,23.7407,0.2593,Riesgo Alto
2020-01-10,BI y Reportes,99.1345,23.7923,0.2077,Aceptable
2020-01-10,Infraestructura,99.8835,23.972,0.028,Aceptable
2020-01-11,Sistema Tributario,99.852,23.9645,0.0355,Aceptable
2020-01-11,Portal Web,99.7986,23.9517,0.0483,Aceptable
2020-01-11,API de Servicios,99.0009,23.7602,0.2398,Aceptable
2020-01-11,Sistema de Facturación,99.1156,23.7877,0.2123,Aceptable
2020-01-11,Plataforma de Pagos,99.7726,23.9454,0.0546,Aceptable
2020-01-11,Sistema Aduanero,99.694,23.9266,0.0734,Aceptable
2020-01-11,BI y Reportes,98.9846,23.7563,0.2437,Riesgo Alto
2020-01-11,Infraestructura,98.8283,23.7188,0.2812,Riesgo Alto
2020-01-12,Sistema Tributario,99.3391,23.8414,0.1586,Aceptable
2020-01-12,Portal Web,99.6537,23.9169,0.0831,Aceptable
2020-01-12,API de Servicios,98.9608,23.7506,0.2494,Riesgo Alto
2020-01-12,Sistema de Facturación,99.7742,23.9458,0.0542,Aceptable
2020-01-12,Plataforma de Pagos,96.8272,23.2385,0.7615,Riesgo Alto
2020-01-12,Sistema Aduanero,99.3925,23.8542,0.1458,Aceptable
2020-01-12,BI y Reportes,99.3517,23.8444,0.1556,Aceptable
2020-01-12,Infraestructura,99.6231,23.9095,0.0905,Aceptable
2020-01-13,Sistema Tributario,99.1571,23.7977,0.2023,Aceptable
2020-01-13,Portal Web,99.8884,23.9732,0.0268,Aceptable
2020-01-13,API de Servicios,99.5682,23.8964,0.1036,Aceptable
2020-01-13,Sistema de Facturación,99.1138,23.7873,0.2127,Aceptable
2020-01-13,Plataforma de Pagos,98.6057,23.6654,0.3346,Riesgo Alto
2020-01-13,Sistema Aduanero,98.8121,23.7149,0.2851,Riesgo Alto
2020-01-13,BI y Reportes,99.2532,23.8208,0.1792,Aceptable
2020-01-13,Infraestructura,99.7159,23.9318,0.0682,Aceptable
2020-01-14,Sistema Tributario,99.0844,23.7803,0.2197,Aceptable
2020-01-14,Portal Web,98.8575,23.7258,0.2742,Riesgo Alto
2020-01-14,API de Servicios,99.3875,23.853,0.147,Aceptable
2020-01-14,Sistema de Facturación,98.502,23.6405,0.3595,Riesgo Alto
2020-01-14,Plataforma de Pagos,98.9012,23.7363,0.2637,Riesgo Alto
2020-01-14,Sistema Aduanero,98.609,23.6662,0.3338,Riesgo Alto
2020-01-14,BI y Reportes,99.3914,23.8539,0.1461,Aceptable
2020-01-14,Infraestructura,98.7662,23.7039,0.2961,Riesgo Alto
2020-01-15,Sistema Tributario,99.0683,23.7764,0.2236,Aceptable
2020-01-15,Portal Web,99.6739,23.9217,0.0783,Aceptable
2020-01-15,API de Servicios,99.7276,23.9346,0.0654,Aceptable
2020-01-15,Sistema de Facturación,99.3756,23.8501,0.1499,Aceptable
2020-01-15,Plataforma de Pagos,99.6935,23.9264,0.0736,Aceptable
2020-01-15,Sistema Aduanero,99.4268,23.8624,0.1376,Aceptable
2020-01-15,BI y Reportes,98.5856,23.6605,0.3395,Riesgo Alto
2020-01-15,Infraestructura,98.7739,23.7057,0.2943,Riesgo Alto
2020-01-16,Sistema Tributario,98.5773,23.6586,0.3414,Riesgo Alto
2020-01-16,Portal Web,99.7354,23.9365,0.0635,Aceptable
2020-01-16,API de Servicios,99.7285,23.9348,0.0652,Aceptable
2020-01-16,Sistema de Facturación,99.8399,23.9616,0.0384,Aceptable
2020-01-16,Plataforma de Pagos,99.2287,23.8149,0.1851,Aceptable
2020-01-16,Sistema Aduanero,99.455,23.8692,0.1308,Aceptable
2020-01-16,BI y Reportes,99.7646,23.9435,0.0565,Aceptable
2020-01-16,Infraestructura,99.854,23.965,0.035,Aceptable
2020-01-17,Sistema Tributario,99.6256,23.9101,0.0899,Aceptable
2020-01-17,Portal Web,98.8839,23.7321,0.2679,Riesgo Alto
2020-01-17,API de Servicios,99.2562,23.8215,0.1785,Aceptable
2020-01-17,Sistema de Facturación,99.213,23.8111,0.1889,Aceptable
2020-01-17,Plataforma de Pagos,98.5072,23.6417,0.3583,Riesgo Alto
2020-01-17,Sistema Aduanero,99.2974,23.8314,0.1686,Aceptable
2020-01-17,BI y Reportes,98.745,23.6988,0.3012,Riesgo Alto
2020-01-17,Infraestructura,98.6454,23.6749,0.3251,Riesgo Alto
2020-01-18,Sistema Tributario,99.0499,23.772,0.228,Aceptable
2020-01-18,Portal Web,99.1766,23.8024,0.1976,Aceptable
2020-01-18,API de Servicios,99.7328,23.9359,0.0641,Aceptable
2020-01-18,Sistema de Facturación,98.8329,23.7199,0.2801,Riesgo Alto
2020-01-18,Plataforma de Pagos,98.9677,23.7523,0.2477,Riesgo Alto
2020-01-18,Sistema Aduanero,98.5477,23.6515,0.3485,Riesgo Alto
2020-01-18,BI y Reportes,99.3978,23.8555,0.1445,Aceptable
2020-01-18,Infraestructura,97.6158,23.4278,0.5722,Riesgo Alto
2020-01-19,Sistema Tributario,98.6378,23.6731,0.3269,Riesgo Alto
2020-01-19,Portal Web,98.6934,23.6864,0.3136,Riesgo Alto
2020-01-19,API de Servicios,99.2405,23.8177,0.1823,Aceptable
2020-01-19,Sistema de Facturación,96.6561,23.1975,0.8025,Riesgo Alto
2020-01-19,Plataforma de Pagos,99.4433,23.8664,0.1336,Aceptable
2020-01-19,Sistema Aduanero,96.1621,23.0789,0.9211,Riesgo Alto
2020-01-19,BI y Reportes,98.9679,23.7523,0.2477,Riesgo Alto
2020-01-19,Infraestructura,99.8873,23.9729,0.0271,Aceptable
2020-01-20,Sistema Tributario,99.9358,23.9846,0.0154,Alta
2020-01-20,Portal Web,98.851,23.7242,0.2758,Riesgo Alto
2020-01-20,API de Servicios,99.5737,23.8977,0.1023,Aceptable
2020-01-20,Sistema de Facturación,98.5993,23.6638,0.3362,Riesgo Alto
2020-01-20,Plataforma de Pagos,99.6474,23.9154,0.0846,Aceptable
2020-01-20,Sistema Aduanero,99.3262,23.8383,0.1617,Aceptable
2020-01-20,BI y Reportes,99.7147,23.9315,0.0685,Aceptable
2020-01-20,Infraestructura,98.5593,23.6542,0.3458,Riesgo Alto
2020-01-21,Sistema Tributario,99.7829,23.9479,0.0521,Aceptable
2020-01-21,Portal Web,99.396,23.855,0.145,Aceptable
2020-01-21,API de Servicios,99.4373,23.865,0.135,Aceptable
2020-01-21,Sistema de Facturación,99.5565,23.8936,0.1064,Aceptable
2020-01-21,Plataforma de Pagos,99.9293,23.983,0.017,Alta
2020-01-21,Sistema Aduanero,99.3669,23.8481,0.1519,Aceptable
2020-01-21,BI y Reportes,98.9915,23.758,0.242,Riesgo Alto
2020-01-21,Infraestructura,99.7875,23.949,0.051,Aceptable
2020-01-22,Sistema Tributario,99.4059,23.8574,0.1426,Aceptable
2020-01-22,Portal Web,98.8042,23.713,0.287,Riesgo Alto
2020-01-22,API de Servicios,99.5178,23.8843,0.1157,Aceptable
2020-01-22,Sistema de Facturación,99.1248,23.79,0.21,Aceptable
2020-01-22,Plataforma de Pagos,98.7983,23.7116,0.2884,Riesgo Alto
2020-01-22,Sistema Aduanero,98.9463,23.7471,0.2529,Riesgo Alto
2020-01-22,BI y Reportes,99.1794,23.8031,0.1969,Aceptable
2020-01-22,Infraestructura,99.7887,23.9493,0.0507,Aceptable
2020-01-23,Sistema Tributario,99.1132,23.7872,0.2128,Aceptable
2020-01-23,Portal Web,98.5249,23.646,0.354,Riesgo Alto
2020-01-23,API de Servicios,99.7757,23.9462,0.0538,Aceptable
2020-01-23,Sistema de Facturación,99.0438,23.7705,0.2295,Aceptable
2020-01-23,Plataforma de Pagos,98.518,23.6443,0.3557,Riesgo Alto
2020-01-23,Sistema Aduanero,99.1676,23.8002,0.1998,Aceptable
2020-01-23,BI y Reportes,99.7963,23.9511,0.0489,Aceptable
2020-01-23,Infraestructura,95.8488,23.0037,0.9963,Riesgo Alto
2020-01-24,Sistema Tributario,98.5989,23.6637,0.3363,Riesgo Alto
2020-01-24,Portal Web,99.3385,23.8413,0.1587,Aceptable
2020-01-24,API de Servicios,92.6216,22.2292,1.7708,Riesgo Alto
2020-01-24,Sistema de Facturación,98.6865,23.6847,0.3153,Riesgo Alto
2020-01-24,Plataforma de Pagos,98.7584,23.702,0.298,Riesgo Alto
2020-01-24,Sistema Aduanero,99.7047,23.9291,0.0709,Aceptable
2020-01-24,BI y Reportes,99.5045,23.8811,0.1189,Aceptable
2020-01-24,Infraestructura,99.9113,23.9787,0.0213,Alta
2020-01-25,Sistema Tributario,99.7265,23.9344,0.0656,Aceptable
2020-01-25,Portal Web,99.7538,23.9409,0.0591,Aceptable
2020-01-25,API de Servicios,99.4429,23.8663,0.1337,Aceptable
2020-01-25,Sistema de Facturación,98.5082,23.642,0.358,Riesgo Alto
2020-01-25,Plataforma de Pagos,99.8284,23.9588,0.0412,Aceptable
2020-01-25,Sistema Aduanero,98.8274,23.7186,0.2814,Riesgo Alto
2020-01-25,BI y Reportes,99.8848,23.9723,0.0277,Aceptable
2020-01-25,Infraestructura,99.0707,23.777,0.223,Aceptable
2020-01-26,Sistema Tributario,99.6458,23.915,0.085,Aceptable
2020-01-26,Portal Web,99.6358,23.9126,0.0874,Aceptable
2020-01-26,API de Servicios,98.8654,23.7277,0.2723,Riesgo Alto
2020-01-26,Sistema de Facturación,98.6128,23.6671,0.3329,Riesgo Alto
2020-01-26,Plataforma de Pagos,98.7148,23.6915,0.3085,Riesgo Alto
2020-01-26,Sistema Aduanero,99.1099,23.7864,0.2136,Aceptable
2020-01-26,BI y Reportes,99.884,23.9722,0.0278,Aceptable
2020-01-26,Infraestructura,99.8796,23.9711,0.0289,Aceptable
2020-01-27,Sistema Tributario,98.7397,23.6975,0.3025,Riesgo Alto
2020-01-27,Portal Web,99.7593,23.9422,0.0578,Aceptable
2020-01-27,API de Servicios,99.5052,23.8813,0.1187,Aceptable
2020-01-27,Sistema de Facturación,98.5213,23.6451,0.3549,Riesgo Alto
2020-01-27,Plataforma de Pagos,98.6327,23.6719,0.3281,Riesgo Alto
2020-01-27,Sistema Aduanero,99.2997,23.8319,0.1681,Aceptable
2020-01-27,BI y Reportes,98.5229,23.6455,0.3545,Riesgo Alto
2020-01-27,Infraestructura,99.7743,23.9458,0.0542,Aceptable
2020-01-28,Sistema Tributario,99.2845,23.8283,0.1717,Aceptable
2020-01-28,Portal Web,98.6739,23.6817,0.3183,Riesgo Alto
2020-01-28,API de Servicios,98.6861,23.6847,0.3153,Riesgo Alto
2020-01-28,Sistema de Facturación,99.349,23.8437,0.1563,Aceptable
2020-01-28,Plataforma de Pagos,98.5054,23.6413,0.3587,Riesgo Alto
2020-01-28,Sistema Aduanero,99.2804,23.8273,0.1727,Aceptable
2020-01-28,BI y Reportes,99.4246,23.8619,0.1381,Aceptable
2020-01-28,Infraestructura,99.2838,23.8281,0.1719,Aceptable
2020-01-29,Sistema Tributario,98.771,23.705,0.295,Riesgo Alto
2020-01-29,Portal Web,99.4939,23.8785,0.1215,Aceptable
2020-01-29,API de Servicios,98.678,23.6827,0.3173,Riesgo Alto
2020-01-29,Sistema de Facturación,98.8916,23.734,0.266,Riesgo Alto
2020-01-29,Plataforma de Pagos,99.0811,23.7795,0.2205,Aceptable
2020-01-29,Sistema Aduanero,98.5019,23.6405,0.3595,Riesgo Alto
2020-01-29,BI y Reportes,99.5368,23.8888,0.1112,Aceptable
2020-01-29,Infraestructura,99.2924,23.8302,0.1698,Aceptable
2020-01-30,Sistema Tributario,99.8567,23.9656,0.0344,Aceptable
2020-01-30,Portal Web,98.8844,23.7323,0.2677,Riesgo Alto
2020-01-30,API de Servicios,99.1414,23.7939,0.2061,Aceptable
2020-01-30,Sistema de Facturación,99.2505,23.8201,0.1799,Aceptable
2020-01-30,Plataforma de Pagos,99.4451,23.8668,0.1332,Aceptable
2020-01-30,Sistema Aduanero,98.5914,23.6619,0.3381,Riesgo Alto
2020-01-30,BI y Reportes,98.5226,23.6454,0.3546,Riesgo Alto
2020-01-30,Infraestructura,99.0336,23.7681,0.2319,Aceptable
2020-01-31,Sistema Tributario,99.9201,23.9808,0.0192,Alta
2020-01-31,Portal Web,98.8846,23.7323,0.2677,Riesgo Alto
2020-01-31,API de Servicios,99.241,23.8178,0.1822,Aceptable
2020-01-31,Sistema de Facturación,99.3936,23.8545,0.1455,Aceptable
2020-01-31,Plataforma de Pagos,99.3362,23.8407,0.1593,Aceptable
2020-01-31,Sistema Aduanero,98.5617,23.6548,0.3452,Riesgo Alto
2020-01-31,BI y Reportes,99.1685,23.8004,0.1996,Aceptable
2020-01-31,Infraestructura,99.1785,23.8028,0.1972,Aceptable
2020-02-01,Sistema Tributario,99.6472,23.9153,0.0847,Aceptable
2020-02-01,Portal Web,99.0195,23.7647,0.2353,Aceptable
2020-02-01,API de Servicios,99.5584,23.894,0.106,Aceptable
2020-02-01,Sistema de Facturación,99.9066,23.9776,0.0224,Alta
2020-02-01,Plataforma de Pagos,99.6563,23.9175,0.0825,Aceptable
2020-02-01,Sistema Aduanero,99.6331,23.9119,0.0881,Aceptable
2020-02-01,BI y Reportes,99.3624,23.847,0.153,Aceptable
2020-02-01,Infraestructura,98.9737,23.7537,0.2463,Riesgo Alto
2020-02-02,Sistema Tributario,99.1582,23.798,0.202,Aceptable
2020-02-02,Portal Web,98.7928,23.7103,0.2897,Riesgo Alto
2020-02-02,API de Servicios,99.4828,23.8759,0.1241,Aceptable
2020-02-02,Sistema de Facturación,99.0814,23.7795,0.2205,Aceptable
2020-02-02,Plataforma de Pagos,98.5833,23.66,0.34,Riesgo Alto
2020-02-02,Sistema Aduanero,99.6534,23.9168,0.0832,Aceptable
2020-02-02,BI y Reportes,94.747,22.7393,1.2607,Riesgo Alto
2020-02-02,Infraestructura,98.5367,23.6488,0.3512,Riesgo Alto
2020-02-03,Sistema Tributario,99.2348,23.8164,0.1836,Aceptable
2020-02-03,Portal Web,99.3436,23.8425,0.1575,Aceptable
2020-02-03,API de Servicios,99.2485,23.8196,0.1804,Aceptable
2020-02-03,Sistema de Facturación,98.6362,23.6727,0.3273,Riesgo Alto
2020-02-03,Plataforma de Pagos,99.8291,23.959,0.041,Aceptable
2020-02-03,Sistema Aduanero,99.4086,23.8581,0.1419,Aceptable
2020-02-03,BI y Reportes,99.2421,23.8181,0.1819,Aceptable
2020-02-03,Infraestructura,98.951,23.7482,0.2518,Riesgo Alto
2020-02-04,Sistema Tributario,99.468,23.8723,0.1277,Aceptable
2020-02-04,Portal Web,99.8587,23.9661,0.0339,Aceptable
2020-02-04,API de Servicios,99.1789,23.8029,0.1971,Aceptable
2020-02-04,Sistema de Facturación,98.6161,23.6679,0.3321,Riesgo Alto
2020-02-04,Plataforma de Pagos,99.0424,23.7702,0.2298,Aceptable
2020-02-04,Sistema Aduanero,98.9306,23.7434,0.2566,Riesgo Alto
2020-02-04,BI y Reportes,99.9338,23.9841,0.0159,Alta
2020-02-04,Infraestructura,98.6035,23.6648,0.3352,Riesgo Alto
2020-02-05,Sistema Tributario,99.4183,23.8604,0.1396,Aceptable
2020-02-05,Portal Web,98.9955,23.7589,0.2411,Riesgo Alto
2020-02-05,API de Servicios,99.7995,23.9519,0.0481,Aceptable
2020-02-05,Sistema de Facturación,99.8275,23.9586,0.0414,Aceptable
2020-02-05,Plataforma de Pagos,99.9218,23.9812,0.0188,Alta
2020-02-05,Sistema Aduanero,98.8418,23.722,0.278,Riesgo Alto
2020-02-05,BI y Reportes,99.8842,23.9722,0.0278,Aceptable
2020-02-05,Infraestructura,99.3196,23.8367,0.1633,Aceptable
2020-02-06,Sistema Tributario,99.0745,23.7779,0.2221,Aceptable
2020-02-06,Portal Web,99.2788,23.8269,0.1731,Aceptable
2020-02-06,API de Servicios,98.5718,23.6572,0.3428,Riesgo Alto
2020-02-06,Sistema de Facturación,99.4649,23.8716,0.1284,Aceptable
2020-02-06,Plataforma de Pagos,99.4076,23.8578,0.1422,Aceptable
2020-02-06,Sistema Aduanero,99.102,23.7845,0.2155,Aceptable
2020-02-06,BI y Reportes,98.9443,23.7466,0.2534,Riesgo Alto
2020-02-06,Infraestructura,98.5285,23.6468,0.3532,Riesgo Alto
2020-02-07,Sistema Tributario,99.1057,23.7854,0.2146,Aceptable
2020-02-07,Portal Web,98.6663,23.6799,0.3201,Riesgo Alto
2020-02-07,API de Servicios,98.9386,23.7453,0.2547,Riesgo Alto
2020-02-07,Sistema de Facturación,99.3428,23.8423,0.1577,Aceptable
2020-02-07,Plataforma de Pagos,98.9261,23.7423,0.2577,Riesgo Alto
2020-02-07,Sistema Aduanero,99.0546,23.7731,0.2269,Aceptable
2020-02-07,BI y Reportes,99.4754,23.8741,0.1259,Aceptable
2020-02-07,Infraestructura,99.467,23.8721,0.1279,Aceptable
2020-02-08,Sistema Tributario,98.9135,23.7392,0.2608,Riesgo Alto
2020-02-08,Portal Web,98.6898,23.6855,0.3145,Riesgo Alto
2020-02-08,API de Servicios,99.2941,23.8306,0.1694,Aceptable
2020-02-08,Sistema de Facturación,98.9508,23.7482,0.2518,Riesgo Alto
2020-02-08,Plataforma de Pagos,98.7346,23.6963,0.3037,Riesgo Alto
2020-02-08,Sistema Aduanero,98.6431,23.6743,0.3257,Riesgo Alto
2020-02-08,BI y Reportes,98.6389,23.6733,0.3267,Riesgo Alto
2020-02-08,Infraestructura,98.6239,23.6697,0.3303,Riesgo Alto
2020-02-09,Sistema Tributario,99.7208,23.933,0.067,Aceptable
2020-02-09,Portal Web,98.6042,23.665,0.335,Riesgo Alto
2020-02-09,API de Servicios,99.4924,23.8782,0.1218,Aceptable
2020-02-09,Sistema de Facturación,99.4671,23.8721,0.1279,Aceptable
2020-02-09,Plataforma de Pagos,99.21,23.8104,0.1896,Aceptable
2020-02-09,Sistema Aduanero,98.6301,23.6712,0.3288,Riesgo Alto
2020-02-09,BI y Reportes,99.2181,23.8123,0.1877,Aceptable
2020-02-09,Infraestructura,99.1868,23.8048,0.1952,Aceptable
2020-02-10,Sistema Tributario,99.6624,23.919,0.081,Aceptable
2020-02-10,Portal Web,99.1782,23.8028,0.1972,Aceptable
2020-02-10,API de Servicios,99.0583,23.774,0.226,Aceptable
2020-02-10,Sistema de Facturación,99.0591,23.7742,0.2258,Aceptable
2020-02-10,Plataforma de Pagos,99.3683,23.8484,0.1516,Aceptable
2020-02-10,Sistema Aduanero,99.6271,23.9105,0.0895,Aceptable
2020-02-10,BI y Reportes,98.7526,23.7006,0.2994,Riesgo Alto
2020-02-10,Infraestructura,99.5704,23.8969,0.1031,Aceptable
2020-02-11,Sistema Tributario,99.9302,23.9833,0.0167,Alta
2020-02-11,Portal Web,99.6983,23.9276,0.0724,Aceptable
2020-02-11,API de Servicios,99.7674,23.9442,0.0558,Aceptable
2020-02-11,Sistema de Facturación,99.4322,23.8637,0.1363,Aceptable
2020-02-11,Plataforma de Pagos,99.5483,23.8916,0.1084,Aceptable
2020-02-11,Sistema Aduanero,94.8741,22.7698,1.2302,Riesgo Alto
2020-02-11,BI y Reportes,99.369,23.8486,0.1514,Aceptable
2020-02-11,Infraestructura,98.916,23.7398,0.2602,Riesgo Alto
2020-02-12,Sistema Tributario,99.3161,23.8359,0.1641,Aceptable
2020-02-12,Portal Web,98.6387,23.6733,0.3267,Riesgo Alto
2020-02-12,API de Servicios,98.7522,23.7005,0.2995,Riesgo Alto
2020-02-12,Sistema de Facturación,98.9123,23.7389,0.2611,Riesgo Alto
2020-02-12,Plataforma de Pagos,99.3234,23.8376,0.1624,Aceptable
2020-02-12,Sistema Aduanero,98.8956,23.7349,0.2651,Riesgo Alto
2020-02-12,BI y Reportes,98.5755,23.6581,0.3419,Riesgo Alto
2020-02-12,Infraestructura,99.4919,23.8781,0.1219,Aceptable
2020-02-13,Sistema Tributario,98.8548,23.7252,0.2748,Riesgo Alto
2020-02-13,Portal Web,99.3453,23.8429,0.1571,Aceptable
2020-02-13,API de Servicios,98.5691,23.6566,0.3434,Riesgo Alto
2020-02-13,Sistema de Facturación,99.8657,23.9678,0.0322,Aceptable
2020-02-13,Plataforma de Pagos,99.7252,23.934,0.066,Aceptable
2020-02-13,Sistema Aduanero,99.2326,23.8158,0.1842,Aceptable
2020-02-13,BI y Reportes,99.082,23.7797,0.2203,Aceptable
2020-02-13,Infraestructura,99.7702,23.9449,0.0551,Aceptable
2020-02-14,Sistema Tributario,99.2763,23.8263,0.1737,Aceptable
2020-02-14,Portal Web,98.6559,23.6774,0.3226,Riesgo Alto
2020-02-14,API de Servicios,98.731,23.6954,0.3046,Riesgo Alto
2020-02-14,Sistema de Facturación,98.8167,23.716,0.284,Riesgo Alto
2020-02-14,Plataforma de Pagos,99.3099,23.8344,0.1656,Aceptable
2020-02-14,Sistema Aduanero,99.7518,23.9404,0.0596,Aceptable
2020-02-14,BI y Reportes,99.5457,23.891,0.109,Aceptable
2020-02-14,Infraestructura,99.7806,23.9473,0.0527,Aceptable
2020-02-15,Sistema Tributario,98.823,23.7175,0.2825,Riesgo Alto
2020-02-15,Portal Web,99.1385,23.7932,0.2068,Aceptable
2020-02-15,API de Servicios,98.866,23.7279,0.2721,Riesgo Alto
2020-02-15,Sistema de Facturación,99.7268,23.9344,0.0656,Aceptable
2020-02-15,Plataforma de Pagos,99.5898,23.9016,0.0984,Aceptable
2020-02-15,Sistema Aduanero,99.5389,23.8893,0.1107,Aceptable
2020-02-15,BI y Reportes,99.9316,23.9836,0.0164,Alta
2020-02-15,Infraestructura,99.5087,23.8821,0.1179,Aceptable
2020-02-16,Sistema Tributario,98.8635,23.7272,0.2728,Riesgo Alto
2020-02-16,Portal Web,99.0657,23.7758,0.2242,Aceptable
2020-02-16,API de Servicios,99.5627,23.8951,0.1049,Aceptable
2020-02-16,Sistema de Facturación,93.2121,22.3709,1.6291,Riesgo Alto
